,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,387.00",AUD,AUST.DOLLAR,"16,707.00","16,486.00",2019-01-29,15
1,"17,212.00",CAD,CANADIAN DOLLAR,"17,599.00","17,368.00",2019-01-29,15
2,"23,049.00",CHF,SWISS FRANCE,"23,553.00","23,212.00",2019-01-29,15
3,,DKK,DANISH KRONE,"3,621.00","3,481.00",2019-01-29,15
4,"26,280.00",EUR,EURO,"27,058.00","26,359.00",2019-01-29,15
5,"30,122.00",GBP,BRITISH POUND,"30,645.00","30,335.00",2019-01-29,15
6,"2,898.00",HKD,HONGKONG DOLLAR,"2,993.00","2,918.00",2019-01-29,15
7,,INR,INDIAN RUPEE,353.00,310.00,2019-01-29,15
8,199.00,JPY,JAPANESE YEN,219.00,200.00,2019-01-29,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-29,15
10,,KWD,KUWAITI DINAR,"79,334.00","76,308.00",2019-01-29,15
11,,MYR,MALAYSIAN RINGGIT,"5,692.00","5,589.00",2019-01-29,15
12,,NOK,NORWEGIAN KRONER,"2,783.00","2,668.00",2019-01-29,15
13,,SEK,SWEDISH KRONA,"2,607.00","2,513.00",2019-01-29,15
14,"16,902.00",SGD,SINGAPORE DOLLAR,"17,248.00","17,022.00",2019-01-29,15
15,713.00,THB,THAI BAHT,756.00,713.00,2019-01-29,15
16,"23,140.00",USD,US DOLLAR,"23,240.00","23,150.00",2019-01-29,15
0,"16,364.79",AUD,AUST.DOLLAR,"16,666.61","16,468.72",2019-01-29,61
1,"17,207.07",CAD,CANADIAN DOLLAR,"17,575.90","17,368.57",2019-01-29,61
2,"23,059.23",CHF,SWISS FRANCE,"23,542.76","23,226.96",2019-01-29,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-29,61
4,,DKK,DANISH KRONE,"3,605.61","3,497.53",2019-01-29,61
5,"26,286.74",EUR,EURO,"27,043.49","26,370.91",2019-01-29,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-29,61
