,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,383.00",AUD,AUST.DOLLAR,"16,703.00","16,482.00",2019-01-09,15
1,"17,256.00",CAD,CANADIAN DOLLAR,"17,644.00","17,413.00",2019-01-09,15
2,"23,323.00",CHF,SWISS FRANCE,"23,832.00","23,487.00",2019-01-09,15
3,,DKK,DANISH KRONE,"3,633.00","3,493.00",2019-01-09,15
4,"26,376.00",EUR,EURO,"27,158.00","26,456.00",2019-01-09,15
5,"29,232.00",GBP,BRITISH POUND,"29,740.00","29,438.00",2019-01-09,15
6,"2,901.00",HKD,HONGKONG DOLLAR,"2,996.00","2,922.00",2019-01-09,15
7,,INR,INDIAN RUPEE,356.00,313.00,2019-01-09,15
8,200.00,JPY,JAPANESE YEN,220.00,201.00,2019-01-09,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-09,15
10,,KWD,KUWAITI DINAR,"79,368.00","76,341.00",2019-01-09,15
11,,MYR,MALAYSIAN RINGGIT,"5,696.00","5,593.00",2019-01-09,15
12,,NOK,NORWEGIAN KRONER,"2,780.00","2,665.00",2019-01-09,15
13,,SEK,SWEDISH KRONA,"2,654.00","2,559.00",2019-01-09,15
14,"16,872.00",SGD,SINGAPORE DOLLAR,"17,217.00","16,991.00",2019-01-09,15
15,704.00,THB,THAI BAHT,745.00,704.00,2019-01-09,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-09,15
0,"16,376.25",AUD,AUST.DOLLAR,"16,685.46","16,480.25",2019-01-09,61
1,"17,240.90",CAD,CANADIAN DOLLAR,"17,617.98","17,402.70",2019-01-09,61
2,"23,315.80",CHF,SWISS FRANCE,"23,814.63","23,485.34",2019-01-09,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-09,61
4,,DKK,DANISH KRONE,"3,615.52","3,505.64",2019-01-09,61
5,"26,351.21",EUR,EURO,"27,121.43","26,435.58",2019-01-09,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-09,61
7,"29,178.85",GBP,BRITISH POUND,"29,676.51","29,389.72",2019-01-09,61
8,"2,913.12",HKD,HONGKONG DOLLAR,"2,985.67","2,933.68",2019-01-09,61
9,,INR,INDIAN RUPEE,343.11,330.15,2019-01-09,61
10,201.93,JPY,JAPANESE YEN,214.24,208.52,2019-01-09,61
11,19.06,KRW,SOUTH KOREAN WON,21.22,20.08,2019-01-09,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-09,61
13,,MYR,MALAYSIAN RINGGIT,"5,679.91","5,607.32",2019-01-09,61
14,,NOK,NORWEGIAN KRONER,"2,762.94","2,678.97",2019-01-09,61
15,,SEK,SWEDISH KRONA,"2,636.10","2,571.37",2019-01-09,61
16,"16,856.39",SGD,SINGAPORE DOLLAR,"17,191.06","16,980.39",2019-01-09,61
17,710.26,THB,THAI BAHT,739.88,710.26,2019-01-09,61
