,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,129.00",AUD,AUST.DOLLAR,"16,444.00","16,226.00",2019-01-02,15
1,"16,796.00",CAD,CANADIAN DOLLAR,"17,174.00","16,948.00",2019-01-02,15
2,"23,338.00",CHF,SWISS FRANCE,"23,847.00","23,502.00",2019-01-02,15
3,,DKK,DANISH KRONE,"3,643.00","3,502.00",2019-01-02,15
4,"26,443.00",EUR,EURO,"27,226.00","26,523.00",2019-01-02,15
5,"29,265.00",GBP,BRITISH POUND,"29,774.00","29,471.00",2019-01-02,15
6,"2,904.00",HKD,HONGKONG DOLLAR,"2,999.00","2,925.00",2019-01-02,15
7,,INR,INDIAN RUPEE,361.00,317.00,2019-01-02,15
8,201.00,JPY,JAPANESE YEN,220.00,202.00,2019-01-02,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-02,15
10,,KWD,KUWAITI DINAR,"79,350.00","76,324.00",2019-01-02,15
11,,MYR,MALAYSIAN RINGGIT,"5,666.00","5,563.00",2019-01-02,15
12,,NOK,NORWEGIAN KRONER,"2,742.00","2,629.00",2019-01-02,15
13,,SEK,SWEDISH KRONA,"2,669.00","2,573.00",2019-01-02,15
14,"16,793.00",SGD,SINGAPORE DOLLAR,"17,137.00","16,911.00",2019-01-02,15
15,698.00,THB,THAI BAHT,740.00,698.00,2019-01-02,15
16,"23,155.00",USD,US DOLLAR,"23,255.00","23,165.00",2019-01-02,15
0,"16,047.15",AUD,AUST.DOLLAR,"16,350.75","16,149.16",2019-01-02,61
1,"16,734.64",CAD,CANADIAN DOLLAR,"17,101.55","16,891.85",2019-01-02,61
2,"23,249.64",CHF,SWISS FRANCE,"23,747.13","23,418.71",2019-01-02,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-02,61
4,,DKK,DANISH KRONE,"3,612.98","3,503.17",2019-01-02,61
5,"26,331.56",EUR,EURO,"27,101.22","26,415.87",2019-01-02,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-02,61
7,"29,162.20",GBP,BRITISH POUND,"29,659.59","29,372.95",2019-01-02,61
8,"2,914.82",HKD,HONGKONG DOLLAR,"2,987.42","2,935.40",2019-01-02,61
9,,INR,INDIAN RUPEE,346.40,333.32,2019-01-02,61
10,200.74,JPY,JAPANESE YEN,213.02,207.32,2019-01-02,61
11,19.13,KRW,SOUTH KOREAN WON,21.29,20.15,2019-01-02,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-02,61
13,,MYR,MALAYSIAN RINGGIT,"5,641.34","5,569.24",2019-01-02,61
14,,NOK,NORWEGIAN KRONER,"2,720.72","2,638.03",2019-01-02,61
15,,SEK,SWEDISH KRONA,"2,644.12","2,579.19",2019-01-02,61
16,"16,751.26",SGD,SINGAPORE DOLLAR,"17,084.03","16,874.52",2019-01-02,61
17,701.64,THB,THAI BAHT,730.91,701.64,2019-01-02,61
18,"23,130.00",USD,US DOLLAR,"23,250.00","23,160.00",2019-01-02,61
0,"16,042.00",AUD,AUST.DOLLAR,"16,355.00","16,138.00",2019-01-02,84
1,"16,744.64",CAD,CANADIAN DOLLAR,"17,113.00","16,852.00",2019-01-02,84
2,"23,226.00",CHF,SWISS FRANCE,"23,742.13","23,363.00",2019-01-02,84
3,,DKK,DANISH KRONE,"3,615.00","3,481.00",2019-01-02,84
4,"26,253.00",EUR,EURO,"27,096.22","26,385.00",2019-01-02,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-02,84
6,"29,167.20",GBP,BRITISH POUND,"29,709.00","29,343.00",2019-01-02,84
7,"2,918.82",HKD,HONGKONG DOLLAR,"2,985.00","2,934.00",2019-01-02,84
8,205.74,JPY,JAPANESE YEN,213.77,207.82,2019-01-02,84
9,18.51,KRW,SOUTH KOREAN WON,21.62,19.69,2019-01-02,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-02,84
11,,NOK,NORWEGIAN KRONER,"2,723.00","2,622.00",2019-01-02,84
12,,SEK,SWEDISH KRONA,"2,650.00","2,554.00",2019-01-02,84
13,"16,776.26",SGD,SINGAPORE DOLLAR,"17,099.00","16,863.00",2019-01-02,84
14,637.00,THB,THAI BAHT,731.00,700.00,2019-01-02,84
15,"23,160.00",USD,US DOLLAR,"23,250.00","23,160.00",2019-01-02,84
0,"16,149.04",AUD,AUST.DOLLAR,"16,423.95","16,246.52",2019-01-02,73
1,"16,816.24",CAD,CANADIAN DOLLAR,"17,154.28","16,968.96",2019-01-02,73
2,"23,358.01",CHF,SWISS FRANCE,"23,827.17","23,522.67",2019-01-02,73
3,,DKK,DANISH KRONE,"3,628.10","3,517.84",2019-01-02,73
4,"26,463.61",EUR,EURO,"27,206.27","26,543.24",2019-01-02,73
5,"29,285.28",GBP,BRITISH POUND,"29,754.23","29,491.72",2019-01-02,73
6,"2,919.72",HKD,HONGKONG DOLLAR,"2,984.33","2,940.30",2019-01-02,73
7,,INR,INDIAN RUPEE,345.64,332.59,2019-01-02,73
8,206.28,JPY,JAPANESE YEN,213.57,208.36,2019-01-02,73
9,19.40,KRW,SOUTH KOREAN WON,21.07,20.42,2019-01-02,73
10,,KWD,KUWAITI DINAR,"79,334.57","76,339.24",2019-01-02,73
11,,MYR,MALAYSIAN RINGGIT,"5,650.74","5,578.53",2019-01-02,73
12,,NOK,NORWEGIAN KRONER,"2,727.35","2,644.46",2019-01-02,73
13,,SEK,SWEDISH KRONA,"2,653.53","2,588.37",2019-01-02,73
14,"16,813.10",SGD,SINGAPORE DOLLAR,"17,116.53","16,931.62",2019-01-02,73
15,704.62,THB,THAI BAHT,734.01,704.62,2019-01-02,73
16,"23,165.00",USD,US DOLLAR,"23,255.00","23,165.00",2019-01-02,73
0,"16,062.15",AUD,AUST.DOLLAR,"16,350.75","16,164.16",2019-01-02,105
1,"16,749.64",CAD,CANADIAN DOLLAR,"17,101.55","16,906.85",2019-01-02,105
2,"23,264.64",CHF,SWISS FRANCE,"23,747.13","23,433.71",2019-01-02,105
3,,DKK,DANISH KRONE,"3,612.98","3,503.17",2019-01-02,105
4,"26,346.56",EUR,EURO,"27,101.22","26,430.87",2019-01-02,105
5,"29,177.20",GBP,BRITISH POUND,"29,659.59","29,387.95",2019-01-02,105
6,"2,908.82",HKD,HONGKONG DOLLAR,"2,988.42","2,934.40",2019-01-02,105
7,,INR,INDIAN RUPEE,346.40,333.32,2019-01-02,105
8,203.74,JPY,JAPANESE YEN,215.02,205.82,2019-01-02,105
9,19.38,KRW,SOUTH KOREAN WON,21.04,20.40,2019-01-02,105
