,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,080.00",AUD,AUST.DOLLAR,"16,395.00","16,177.00",2019-01-04,15
1,"16,986.00",CAD,CANADIAN DOLLAR,"17,368.00","17,140.00",2019-01-04,15
2,"23,190.00",CHF,SWISS FRANCE,"23,697.00","23,354.00",2019-01-04,15
3,,DKK,DANISH KRONE,"3,615.00","3,475.00",2019-01-04,15
4,"26,243.00",EUR,EURO,"27,020.00","26,322.00",2019-01-04,15
5,"29,014.00",GBP,BRITISH POUND,"29,519.00","29,218.00",2019-01-04,15
6,"2,904.00",HKD,HONGKONG DOLLAR,"2,999.00","2,925.00",2019-01-04,15
7,,INR,INDIAN RUPEE,359.00,316.00,2019-01-04,15
8,203.00,JPY,JAPANESE YEN,222.00,204.00,2019-01-04,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-04,15
10,,KWD,KUWAITI DINAR,"79,342.00","76,316.00",2019-01-04,15
11,,MYR,MALAYSIAN RINGGIT,"5,659.00","5,557.00",2019-01-04,15
12,,NOK,NORWEGIAN KRONER,"2,736.00","2,622.00",2019-01-04,15
13,,SEK,SWEDISH KRONA,"2,628.00","2,533.00",2019-01-04,15
14,"16,805.00",SGD,SINGAPORE DOLLAR,"17,149.00","16,924.00",2019-01-04,15
15,704.00,THB,THAI BAHT,746.00,704.00,2019-01-04,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-04,15
0,"16,025.34",AUD,AUST.DOLLAR,"16,328.57","16,127.22",2019-01-04,61
1,"16,932.33",CAD,CANADIAN DOLLAR,"17,303.21","17,091.33",2019-01-04,61
2,"23,178.58",CHF,SWISS FRANCE,"23,674.64","23,347.15",2019-01-04,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-04,61
4,,DKK,DANISH KRONE,"3,598.02","3,488.67",2019-01-04,61
5,"26,226.86",EUR,EURO,"26,993.59","26,310.85",2019-01-04,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-04,61
7,"28,944.90",GBP,BRITISH POUND,"29,438.82","29,154.12",2019-01-04,61
8,"2,916.43",HKD,HONGKONG DOLLAR,"2,989.06","2,937.02",2019-01-04,61
9,,INR,INDIAN RUPEE,343.18,330.22,2019-01-04,61
10,203.99,JPY,JAPANESE YEN,216.37,210.60,2019-01-04,61
11,19.01,KRW,SOUTH KOREAN WON,21.16,20.02,2019-01-04,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-04,61
13,,MYR,MALAYSIAN RINGGIT,"5,642.85","5,570.73",2019-01-04,61
14,,NOK,NORWEGIAN KRONER,"2,713.18","2,630.72",2019-01-04,61
15,,SEK,SWEDISH KRONA,"2,611.11","2,546.99",2019-01-04,61
16,"16,773.46",SGD,SINGAPORE DOLLAR,"17,106.64","16,896.88",2019-01-04,61
17,707.60,THB,THAI BAHT,737.12,707.60,2019-01-04,61
18,"23,130.00",USD,US DOLLAR,"23,250.00","23,160.00",2019-01-04,61
0,"16,085.79",AUD,AUST.DOLLAR,"16,400.00","16,197.98",2019-01-04,84
1,"16,975.00",CAD,CANADIAN DOLLAR,"17,348.38","17,075.00",2019-01-04,84
2,"23,190.63",CHF,SWISS FRANCE,"23,679.00","23,330.00",2019-01-04,84
3,,DKK,DANISH KRONE,"3,599.62","3,473.00",2019-01-04,84
4,"26,173.00",EUR,EURO,"27,000.43","26,305.00",2019-01-04,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-04,84
6,"28,982.00",GBP,BRITISH POUND,"29,499.07","29,148.00",2019-01-04,84
7,"2,919.84",HKD,HONGKONG DOLLAR,"2,988.00","2,940.00",2019-01-04,84
8,208.56,JPY,JAPANESE YEN,216.53,210.67,2019-01-04,84
9,18.45,KRW,SOUTH KOREAN WON,21.55,19.63,2019-01-04,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-04,84
11,,NOK,NORWEGIAN KRONER,"2,720.58","2,618.00",2019-01-04,84
12,,SEK,SWEDISH KRONA,"2,617.00","2,527.00",2019-01-04,84
13,"16,825.60",SGD,SINGAPORE DOLLAR,"17,151.00","16,932.00",2019-01-04,84
14,644.00,THB,THAI BAHT,740.00,708.00,2019-01-04,84
15,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-04,84
0,"16,100.79",AUD,AUST.DOLLAR,"16,374.89","16,197.98",2019-01-04,73
1,"17,006.51",CAD,CANADIAN DOLLAR,"17,348.38","17,160.96",2019-01-04,73
2,"23,210.63",CHF,SWISS FRANCE,"23,676.84","23,374.25",2019-01-04,73
3,,DKK,DANISH KRONE,"3,599.62","3,490.21",2019-01-04,73
4,"26,263.37",EUR,EURO,"27,000.43","26,342.40",2019-01-04,73
5,"29,034.13",GBP,BRITISH POUND,"29,499.07","29,238.80",2019-01-04,73
6,"2,919.84",HKD,HONGKONG DOLLAR,"2,984.45","2,940.42",2019-01-04,73
7,,INR,INDIAN RUPEE,344.24,331.24,2019-01-04,73
8,208.56,JPY,JAPANESE YEN,215.93,210.67,2019-01-04,73
9,19.32,KRW,SOUTH KOREAN WON,20.97,20.34,2019-01-04,73
10,,KWD,KUWAITI DINAR,"79,326.56","76,331.51",2019-01-04,73
11,,MYR,MALAYSIAN RINGGIT,"5,644.21","5,572.08",2019-01-04,73
12,,NOK,NORWEGIAN KRONER,"2,720.58","2,637.89",2019-01-04,73
13,,SEK,SWEDISH KRONA,"2,613.03","2,548.86",2019-01-04,73
14,"16,825.60",SGD,SINGAPORE DOLLAR,"17,129.27","16,944.21",2019-01-04,73
15,710.03,THB,THAI BAHT,739.65,710.03,2019-01-04,73
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-04,73
0,"16,090.79",AUD,AUST.DOLLAR,"16,379.89","16,192.98",2019-01-04,105
1,"16,996.51",CAD,CANADIAN DOLLAR,"17,353.38","17,155.96",2019-01-04,105
2,"23,200.63",CHF,SWISS FRANCE,"23,681.84","23,369.25",2019-01-04,105
3,,DKK,DANISH KRONE,"3,599.62","3,490.21",2019-01-04,105
4,"26,253.37",EUR,EURO,"27,005.43","26,337.40",2019-01-04,105
5,"29,024.13",GBP,BRITISH POUND,"29,504.07","29,233.80",2019-01-04,105
6,"2,909.84",HKD,HONGKONG DOLLAR,"2,989.45","2,935.42",2019-01-04,105
7,,INR,INDIAN RUPEE,344.24,331.24,2019-01-04,105
8,206.56,JPY,JAPANESE YEN,217.93,208.67,2019-01-04,105
9,19.32,KRW,SOUTH KOREAN WON,20.97,20.34,2019-01-04,105
10,,KWD,KUWAITI DINAR,"78,809.74","75,832.98",2019-01-04,105
11,,MYR,MALAYSIAN RINGGIT,"5,892.68","5,817.28",2019-01-04,105
12,,NOK,NORWEGIAN KRONER,"2,720.58","2,637.89",2019-01-04,105
13,,SEK,SWEDISH KRONA,"2,613.03","2,548.86",2019-01-04,105
