,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,466.00",AUD,AUST.DOLLAR,"16,787.00","16,565.00",2019-01-16,15
1,"17,225.00",CAD,CANADIAN DOLLAR,"17,612.00","17,381.00",2019-01-16,15
2,"23,146.00",CHF,SWISS FRANCE,"23,651.00","23,309.00",2019-01-16,15
3,,DKK,DANISH KRONE,"3,619.00","3,479.00",2019-01-16,15
4,"26,264.00",EUR,EURO,"27,042.00","26,343.00",2019-01-16,15
5,"29,527.00",GBP,BRITISH POUND,"30,041.00","29,736.00",2019-01-16,15
6,"2,900.00",HKD,HONGKONG DOLLAR,"2,995.00","2,920.00",2019-01-16,15
7,,INR,INDIAN RUPEE,353.00,310.00,2019-01-16,15
8,205.00,JPY,JAPANESE YEN,227.00,206.00,2019-01-16,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-16,15
10,,KWD,KUWAITI DINAR,"79,368.00","76,341.00",2019-01-16,15
11,,MYR,MALAYSIAN RINGGIT,"5,703.00","5,600.00",2019-01-16,15
12,,NOK,NORWEGIAN KRONER,"2,778.00","2,664.00",2019-01-16,15
13,,SEK,SWEDISH KRONA,"2,635.00","2,541.00",2019-01-16,15
14,"17,011.00",SGD,SINGAPORE DOLLAR,"17,238.00","17,217.00",2019-01-16,15
15,711.00,THB,THAI BAHT,754.00,711.00,2019-01-16,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-16,15
0,"16,486.34",AUD,AUST.DOLLAR,"16,797.42","16,591.01",2019-01-16,61
1,"17,214.86",CAD,CANADIAN DOLLAR,"17,591.42","17,376.43",2019-01-16,61
2,"23,157.43",CHF,SWISS FRANCE,"23,653.07","23,325.85",2019-01-16,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-16,61
4,,DKK,DANISH KRONE,"3,602.37","3,492.88",2019-01-16,61
5,"26,247.59",EUR,EURO,"27,014.89","26,331.64",2019-01-16,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-16,61
7,"29,474.72",GBP,BRITISH POUND,"29,977.11","29,687.67",2019-01-16,61
8,"2,911.49",HKD,HONGKONG DOLLAR,"2,984.00","2,932.04",2019-01-16,61
9,,INR,INDIAN RUPEE,338.28,325.51,2019-01-16,61
10,201.58,JPY,JAPANESE YEN,214.72,208.17,2019-01-16,61
11,19.07,KRW,SOUTH KOREAN WON,21.23,20.09,2019-01-16,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-16,61
