,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,243.00",AUD,AUST.DOLLAR,"16,561.00","16,341.00",2019-02-23,15
1,"17,255.00",CAD,CANADIAN DOLLAR,"17,643.00","17,412.00",2019-02-23,15
2,"22,857.00",CHF,SWISS FRANCE,"23,357.00","23,018.00",2019-02-23,15
3,,DKK,DANISH KRONE,"3,596.00","3,456.00",2019-02-23,15
4,"26,086.00",EUR,EURO,"26,859.00","26,165.00",2019-02-23,15
5,"29,877.00",GBP,BRITISH POUND,"30,397.00","30,088.00",2019-02-23,15
6,"2,900.00",HKD,HONGKONG DOLLAR,"2,995.00","2,920.00",2019-02-23,15
7,,INR,INDIAN RUPEE,353.00,310.00,2019-02-23,15
8,197.00,JPY,JAPANESE YEN,217.00,198.00,2019-02-23,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-02-23,15
10,,KWD,KUWAITI DINAR,"79,350.00","76,324.00",2019-02-23,15
11,,MYR,MALAYSIAN RINGGIT,"5,739.00","5,635.00",2019-02-23,15
12,,NOK,NORWEGIAN KRONER,"2,747.00","2,634.00",2019-02-23,15
13,,SEK,SWEDISH KRONA,"2,524.00","2,432.00",2019-02-23,15
14,"16,901.00",SGD,SINGAPORE DOLLAR,"17,246.00","17,020.00",2019-02-23,15
15,721.00,THB,THAI BAHT,764.00,721.00,2019-02-23,15
16,"23,155.00",USD,US DOLLAR,"23,265.00","23,165.00",2019-02-23,15
0,"16,280.07",AUD,AUST.DOLLAR,"16,587.63","16,383.49",2019-02-23,61
1,"17,265.31",CAD,CANADIAN DOLLAR,"17,642.88","17,427.34",2019-02-23,61
2,"22,852.32",CHF,SWISS FRANCE,"23,341.82","23,018.59",2019-02-23,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-02-23,61
4,,DKK,DANISH KRONE,"3,582.67","3,473.78",2019-02-23,61
5,"26,088.43",EUR,EURO,"26,851.27","26,172.01",2019-02-23,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-02-23,61
7,"29,895.87",GBP,BRITISH POUND,"30,405.00","30,111.79",2019-02-23,61
8,"2,911.25",HKD,HONGKONG DOLLAR,"2,983.76","2,931.80",2019-02-23,61
9,,INR,INDIAN RUPEE,338.05,325.28,2019-02-23,61
10,197.61,JPY,JAPANESE YEN,210.60,204.16,2019-02-23,61
11,18.96,KRW,SOUTH KOREAN WON,21.31,19.97,2019-02-23,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-02-23,61
13,,MYR,MALAYSIAN RINGGIT,"5,731.15","5,657.91",2019-02-23,61
14,,NOK,NORWEGIAN KRONER,"2,733.46","2,650.38",2019-02-23,61
15,,SEK,SWEDISH KRONA,"2,510.47","2,448.82",2019-02-23,61
16,"16,911.08",SGD,SINGAPORE DOLLAR,"17,246.73","17,035.47",2019-02-23,61
17,729.24,THB,THAI BAHT,759.66,729.24,2019-02-23,61
18,"23,130.00",USD,US DOLLAR,"23,260.00","23,160.00",2019-02-23,61
0,"16,248.77",AUD,AUST.DOLLAR,"16,593.00","16,361.94",2019-02-23,84
1,"17,260.95",CAD,CANADIAN DOLLAR,"17,654.00","17,410.00",2019-02-23,84
2,"22,857.32",CHF,SWISS FRANCE,"23,369.00","23,011.00",2019-02-23,84
3,,DKK,DANISH KRONE,"3,583.00","3,452.00",2019-02-23,84
4,"26,036.00",EUR,EURO,"26,839.16","26,167.00",2019-02-23,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-02-23,84
6,"29,877.92",GBP,BRITISH POUND,"30,426.00","30,095.00",2019-02-23,84
7,"2,915.11",HKD,HONGKONG DOLLAR,"2,982.00","2,933.00",2019-02-23,84
8,202.56,JPY,JAPANESE YEN,211.01,204.61,2019-02-23,84
9,18.42,KRW,SOUTH KOREAN WON,21.51,19.60,2019-02-23,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-02-23,84
11,,NOK,NORWEGIAN KRONER,"2,733.00","2,638.00",2019-02-23,84
12,,SEK,SWEDISH KRONA,"2,515.00","2,430.00",2019-02-23,84
13,"16,921.08",SGD,SINGAPORE DOLLAR,"17,261.00","17,039.00",2019-02-23,84
14,662.00,THB,THAI BAHT,760.00,727.84,2019-02-23,84
15,"23,165.00",USD,US DOLLAR,"23,265.00","23,165.00",2019-02-23,84
0,"16,263.77",AUD,AUST.DOLLAR,"16,540.63","16,361.94",2019-02-23,73
1,"17,275.95",CAD,CANADIAN DOLLAR,"17,623.23","17,432.85",2019-02-23,73
2,"22,877.32",CHF,SWISS FRANCE,"23,336.82","23,038.59",2019-02-23,73
3,,DKK,DANISH KRONE,"3,580.82","3,471.99",2019-02-23,73
4,"26,106.52",EUR,EURO,"26,839.16","26,185.08",2019-02-23,73
5,"29,897.92",GBP,BRITISH POUND,"30,376.68","30,108.68",2019-02-23,73
6,"2,915.11",HKD,HONGKONG DOLLAR,"2,979.61","2,935.66",2019-02-23,73
