,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,307.00",AUD,AUST.DOLLAR,"16,626.00","16,406.00",2019-01-05,15
1,"17,088.00",CAD,CANADIAN DOLLAR,"17,472.00","17,243.00",2019-01-05,15
2,"23,188.00",CHF,SWISS FRANCE,"23,694.00","23,351.00",2019-01-05,15
3,,DKK,DANISH KRONE,"3,611.00","3,471.00",2019-01-05,15
4,"26,215.00",EUR,EURO,"26,992.00","26,294.00",2019-01-05,15
5,"29,170.00",GBP,BRITISH POUND,"29,678.00","29,375.00",2019-01-05,15
6,"2,903.00",HKD,HONGKONG DOLLAR,"2,999.00","2,924.00",2019-01-05,15
7,,INR,INDIAN RUPEE,361.00,317.00,2019-01-05,15
8,202.00,JPY,JAPANESE YEN,221.00,203.00,2019-01-05,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-05,15
10,,KWD,KUWAITI DINAR,"79,342.00","76,316.00",2019-01-05,15
11,,MYR,MALAYSIAN RINGGIT,"5,663.00","5,561.00",2019-01-05,15
12,,NOK,NORWEGIAN KRONER,"2,752.00","2,638.00",2019-01-05,15
13,,SEK,SWEDISH KRONA,"2,638.00","2,543.00",2019-01-05,15
14,"16,840.00",SGD,SINGAPORE DOLLAR,"17,185.00","16,959.00",2019-01-05,15
15,704.00,THB,THAI BAHT,747.00,704.00,2019-01-05,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-05,15
0,"16,302.86",AUD,AUST.DOLLAR,"16,610.81","16,406.42",2019-01-05,61
1,"17,083.30",CAD,CANADIAN DOLLAR,"17,457.22","17,243.67",2019-01-05,61
2,"23,183.28",CHF,SWISS FRANCE,"23,679.44","23,351.88",2019-01-05,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-05,61
4,,DKK,DANISH KRONE,"3,596.21","3,486.91",2019-01-05,61
5,"26,210.75",EUR,EURO,"26,977.02","26,294.69",2019-01-05,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-05,61
7,"29,165.09",GBP,BRITISH POUND,"29,662.52","29,375.86",2019-01-05,61
8,"2,914.90",HKD,HONGKONG DOLLAR,"2,987.50","2,935.48",2019-01-05,61
9,,INR,INDIAN RUPEE,345.87,332.81,2019-01-05,61
10,202.41,JPY,JAPANESE YEN,214.74,209.00,2019-01-05,61
11,19.21,KRW,SOUTH KOREAN WON,21.37,20.23,2019-01-05,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-05,61
13,,MYR,MALAYSIAN RINGGIT,"5,648.31","5,576.12",2019-01-05,61
14,,NOK,NORWEGIAN KRONER,"2,737.04","2,653.85",2019-01-05,61
15,,SEK,SWEDISH KRONA,"2,622.51","2,558.11",2019-01-05,61
16,"16,835.27",SGD,SINGAPORE DOLLAR,"17,169.56","16,959.12",2019-01-05,61
17,710.92,THB,THAI BAHT,740.58,710.92,2019-01-05,61
18,"23,125.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-05,61
0,"16,312.86",AUD,AUST.DOLLAR,"16,623.00","16,418.00",2019-01-05,84
1,"17,093.30",CAD,CANADIAN DOLLAR,"17,465.00","17,215.00",2019-01-05,84
2,"23,188.28",CHF,SWISS FRANCE,"23,677.00","23,327.00",2019-01-05,84
3,,DKK,DANISH KRONE,"3,597.00","3,471.00",2019-01-05,84
4,"26,157.00",EUR,EURO,"26,972.02","26,288.00",2019-01-05,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-05,84
6,"29,170.09",GBP,BRITISH POUND,"29,687.00","29,351.00",2019-01-05,84
7,"2,918.90",HKD,HONGKONG DOLLAR,"2,986.00","2,938.00",2019-01-05,84
8,207.41,JPY,JAPANESE YEN,215.67,209.50,2019-01-05,84
9,18.55,KRW,SOUTH KOREAN WON,21.66,19.73,2019-01-05,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-05,84
11,,NOK,NORWEGIAN KRONER,"2,737.04","2,641.00",2019-01-05,84
12,,SEK,SWEDISH KRONA,"2,628.00","2,538.00",2019-01-05,84
13,"16,860.27",SGD,SINGAPORE DOLLAR,"17,184.00","16,964.00",2019-01-05,84
14,645.00,THB,THAI BAHT,741.00,709.00,2019-01-05,84
15,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-05,84
0,"16,327.86",AUD,AUST.DOLLAR,"16,605.81","16,426.42",2019-01-05,73
1,"17,108.30",CAD,CANADIAN DOLLAR,"17,452.22","17,263.67",2019-01-05,73
2,"23,208.28",CHF,SWISS FRANCE,"23,674.44","23,371.88",2019-01-05,73
3,,DKK,DANISH KRONE,"3,596.21","3,486.91",2019-01-05,73
4,"26,235.75",EUR,EURO,"26,972.02","26,314.69",2019-01-05,73
5,"29,190.09",GBP,BRITISH POUND,"29,657.52","29,395.86",2019-01-05,73
6,"2,918.90",HKD,HONGKONG DOLLAR,"2,983.50","2,939.48",2019-01-05,73
7,,INR,INDIAN RUPEE,345.87,332.81,2019-01-05,73
8,207.41,JPY,JAPANESE YEN,214.74,209.50,2019-01-05,73
9,19.46,KRW,SOUTH KOREAN WON,21.12,20.48,2019-01-05,73
10,,KWD,KUWAITI DINAR,"79,326.56","76,331.51",2019-01-05,73
11,,MYR,MALAYSIAN RINGGIT,"5,648.31","5,576.12",2019-01-05,73
12,,NOK,NORWEGIAN KRONER,"2,737.04","2,653.85",2019-01-05,73
13,,SEK,SWEDISH KRONA,"2,622.51","2,558.11",2019-01-05,73
14,"16,860.27",SGD,SINGAPORE DOLLAR,"17,164.56","16,979.12",2019-01-05,73
15,710.92,THB,THAI BAHT,740.58,710.92,2019-01-05,73
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-05,73
0,"16,317.86",AUD,AUST.DOLLAR,"16,610.81","16,421.42",2019-01-05,105
1,"17,098.30",CAD,CANADIAN DOLLAR,"17,457.22","17,258.67",2019-01-05,105
2,"23,198.28",CHF,SWISS FRANCE,"23,679.44","23,366.88",2019-01-05,105
3,,DKK,DANISH KRONE,"3,596.21","3,486.91",2019-01-05,105
4,"26,225.75",EUR,EURO,"26,977.02","26,309.69",2019-01-05,105
5,"29,180.09",GBP,BRITISH POUND,"29,662.52","29,390.86",2019-01-05,105
6,"2,908.90",HKD,HONGKONG DOLLAR,"2,988.50","2,934.48",2019-01-05,105
7,,INR,INDIAN RUPEE,345.87,332.81,2019-01-05,105
8,205.41,JPY,JAPANESE YEN,216.74,207.50,2019-01-05,105
9,19.46,KRW,SOUTH KOREAN WON,21.12,20.48,2019-01-05,105
10,,KWD,KUWAITI DINAR,"78,809.74","75,832.98",2019-01-05,105
11,,MYR,MALAYSIAN RINGGIT,"5,892.68","5,817.28",2019-01-05,105
12,,NOK,NORWEGIAN KRONER,"2,737.04","2,653.85",2019-01-05,105
13,,SEK,SWEDISH KRONA,"2,622.51","2,558.11",2019-01-05,105
14,"16,850.27",SGD,SINGAPORE DOLLAR,"17,169.56","16,974.12",2019-01-05,105
15,690.92,THB,THAI BAHT,745.58,705.92,2019-01-05,105
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-05,105
0,,ATS,SCHILING AUSTRIA,969.13,955.69,2019-01-05,64
1,"16,327.86",AUD,AUST.DOLLAR,"16,605.81","16,426.42",2019-01-05,64
2,"17,108.30",CAD,CANADIAN DOLLAR,"17,452.22","17,263.67",2019-01-05,64
3,"23,208.28",CHF,SWISS FRANCE,"23,674.44","23,371.88",2019-01-05,64
4,,DKK,DANISH KRONE,"3,596.21","3,486.91",2019-01-05,64
5,"26,235.75",EUR,EURO,"26,972.02","26,314.69",2019-01-05,64
6,"1,990.77",FRF,FRENCH FRANC,"2,033.00","2,004.80",2019-01-05,64
7,"29,190.09",GBP,BRITISH POUND,"29,657.52","29,395.86",2019-01-05,64
8,"2,918.90",HKD,HONGKONG DOLLAR,"2,983.50","2,939.48",2019-01-05,64
9,,INR,INDIAN RUPEE,345.87,332.81,2019-01-05,64
10,207.41,JPY,JAPANESE YEN,214.74,209.50,2019-01-05,64
11,19.46,KRW,SOUTH KOREAN WON,21.12,20.48,2019-01-05,64
12,,KWD,KUWAITI DINAR,"79,326.56","76,331.51",2019-01-05,64
13,,MYR,MALAYSIAN RINGGIT,"5,648.31","5,576.12",2019-01-05,64
14,,NOK,NORWEGIAN KRONER,"2,737.04","2,653.85",2019-01-05,64
15,,SEK,SWEDISH KRONA,"2,622.51","2,558.11",2019-01-05,64
16,"16,860.27",SGD,SINGAPORE DOLLAR,"17,164.56","16,979.12",2019-01-05,64
17,710.92,THB,THAI BAHT,740.58,710.92,2019-01-05,64
18,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-05,64
0,"16,227.86",AUD,AUST.DOLLAR,"16,625.81","16,326.42",2019-01-05,89
1,"17,008.30",CAD,CANADIAN DOLLAR,"17,472.22","17,163.67",2019-01-05,89
2,"23,108.28",CHF,SWISS FRANCE,"23,694.44","23,271.88",2019-01-05,89
3,,DKK,DANISH KRONE,"3,596.21","3,436.91",2019-01-05,89
4,"26,135.75",EUR,EURO,"26,992.02","26,214.69",2019-01-05,89
5,"29,090.09",GBP,BRITISH POUND,"29,677.52","29,295.86",2019-01-05,89
6,"2,898.90",HKD,HONGKONG DOLLAR,"2,988.50","2,919.48",2019-01-05,89
7,,INR,INDIAN RUPEE,345.87,332.81,2019-01-05,89
8,202.41,JPY,JAPANESE YEN,219.74,204.50,2019-01-05,89
9,19.46,KRW,SOUTH KOREAN WON,21.12,20.48,2019-01-05,89
10,,KWD,KUWAITI DINAR,"79,326.56","76,331.51",2019-01-05,89
11,,MYR,MALAYSIAN RINGGIT,"5,648.31","5,576.12",2019-01-05,89
12,,NOK,NORWEGIAN KRONER,"2,737.04","2,603.85",2019-01-05,89
13,,SEK,SWEDISH KRONA,"2,622.51","2,508.11",2019-01-05,89
14,"16,760.27",SGD,SINGAPORE DOLLAR,"17,184.56","16,879.12",2019-01-05,89
15,670.92,THB,THAI BAHT,750.58,670.92,2019-01-05,89
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,145.00",2019-01-05,89
0,"16,327.86",AUD,AUST.DOLLAR,"16,605.81","16,426.42",2019-01-05,35
1,"17,108.30",CAD,CANADIAN DOLLAR,"17,452.22","17,263.67",2019-01-05,35
2,"23,208.28",CHF,SWISS FRANCE,"23,674.44","23,371.88",2019-01-05,35
3,,DKK,DANISH KRONE,"3,596.21","3,486.91",2019-01-05,35
4,"26,235.75",EUR,EURO,"26,972.02","26,314.69",2019-01-05,35
5,"29,190.09",GBP,BRITISH POUND,"29,657.52","29,395.86",2019-01-05,35
6,"2,918.90",HKD,HONGKONG DOLLAR,"2,983.50","2,939.48",2019-01-05,35
7,,INR,INDIAN RUPEE,345.87,332.81,2019-01-05,35
