,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,254.00",AUD,AUST.DOLLAR,"16,572.00","16,353.00",2019-01-26,15
1,"17,145.00",CAD,CANADIAN DOLLAR,"17,530.00","17,301.00",2019-01-26,15
2,"22,961.00",CHF,SWISS FRANCE,"23,463.00","23,123.00",2019-01-26,15
3,,DKK,DANISH KRONE,"3,587.00","3,448.00",2019-01-26,15
4,"26,034.00",EUR,EURO,"26,805.00","26,112.00",2019-01-26,15
5,"30,014.00",GBP,BRITISH POUND,"30,536.00","30,226.00",2019-01-26,15
6,"2,898.00",HKD,HONGKONG DOLLAR,"2,993.00","2,918.00",2019-01-26,15
7,,INR,INDIAN RUPEE,353.00,310.00,2019-01-26,15
8,198.00,JPY,JAPANESE YEN,218.00,199.00,2019-01-26,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-26,15
10,,KWD,KUWAITI DINAR,"79,281.00","76,258.00",2019-01-26,15
11,,MYR,MALAYSIAN RINGGIT,"5,666.00","5,564.00",2019-01-26,15
12,,NOK,NORWEGIAN KRONER,"2,766.00","2,652.00",2019-01-26,15
13,,SEK,SWEDISH KRONA,"2,606.00","2,512.00",2019-01-26,15
14,"16,846.00",SGD,SINGAPORE DOLLAR,"17,191.00","16,965.00",2019-01-26,15
15,711.00,THB,THAI BAHT,754.00,711.00,2019-01-26,15
16,"23,135.00",USD,US DOLLAR,"23,235.00","23,145.00",2019-01-26,15
0,"16,224.87",AUD,AUST.DOLLAR,"16,531.51","16,327.96",2019-01-26,61
1,"17,105.09",CAD,CANADIAN DOLLAR,"17,479.44","17,265.66",2019-01-26,61
2,"22,978.04",CHF,SWISS FRANCE,"23,470.08","23,145.20",2019-01-26,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-26,61
4,,DKK,DANISH KRONE,"3,570.22","3,461.71",2019-01-26,61
5,"26,019.61",EUR,EURO,"26,780.52","26,102.98",2019-01-26,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-26,61
7,"30,034.34",GBP,BRITISH POUND,"30,545.70","30,251.24",2019-01-26,61
