,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,423.00",AUD,AUST.DOLLAR,"16,744.00","16,522.00",2019-01-10,15
1,"17,238.00",CAD,CANADIAN DOLLAR,"17,625.00","17,395.00",2019-01-10,15
2,"23,469.00",CHF,SWISS FRANCE,"23,981.00","23,634.00",2019-01-10,15
3,,DKK,DANISH KRONE,"3,657.00","3,515.00",2019-01-10,15
4,"26,543.00",EUR,EURO,"27,329.00","26,623.00",2019-01-10,15
5,"29,228.00",GBP,BRITISH POUND,"29,736.00","29,434.00",2019-01-10,15
6,"2,901.00",HKD,HONGKONG DOLLAR,"2,996.00","2,922.00",2019-01-10,15
7,,INR,INDIAN RUPEE,356.00,312.00,2019-01-10,15
8,202.00,JPY,JAPANESE YEN,222.00,203.00,2019-01-10,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-10,15
10,,KWD,KUWAITI DINAR,"79,455.00","76,426.00",2019-01-10,15
11,,MYR,MALAYSIAN RINGGIT,"5,713.00","5,610.00",2019-01-10,15
12,,NOK,NORWEGIAN KRONER,"2,790.00","2,676.00",2019-01-10,15
13,,SEK,SWEDISH KRONA,"2,658.00","2,563.00",2019-01-10,15
14,"16,931.00",SGD,SINGAPORE DOLLAR,"17,277.00","17,050.00",2019-01-10,15
15,705.00,THB,THAI BAHT,748.00,705.00,2019-01-10,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-10,15
0,"16,416.29",AUD,AUST.DOLLAR,"16,726.17","16,520.53",2019-01-10,61
1,"17,267.21",CAD,CANADIAN DOLLAR,"17,644.82","17,429.25",2019-01-10,61
2,"23,488.20",CHF,SWISS FRANCE,"23,990.48","23,658.95",2019-01-10,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-10,61
4,,DKK,DANISH KRONE,"3,646.19","3,535.37",2019-01-10,61
5,"26,573.45",EUR,EURO,"27,349.91","26,658.49",2019-01-10,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-10,61
7,"29,310.14",GBP,BRITISH POUND,"29,809.90","29,521.93",2019-01-10,61
8,"2,912.83",HKD,HONGKONG DOLLAR,"2,985.37","2,933.39",2019-01-10,61
9,,INR,INDIAN RUPEE,340.99,328.12,2019-01-10,61
10,202.29,JPY,JAPANESE YEN,215.88,208.88,2019-01-10,61
11,19.16,KRW,SOUTH KOREAN WON,21.32,20.18,2019-01-10,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-10,61
13,,MYR,MALAYSIAN RINGGIT,"5,691.14","5,618.41",2019-01-10,61
14,,NOK,NORWEGIAN KRONER,"2,783.20","2,698.61",2019-01-10,61
15,,SEK,SWEDISH KRONA,"2,651.18","2,586.08",2019-01-10,61
16,"16,903.88",SGD,SINGAPORE DOLLAR,"17,239.41","17,028.22",2019-01-10,61
17,711.88,THB,THAI BAHT,741.58,711.88,2019-01-10,61
18,"23,125.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-10,61
0,"16,428.57",AUD,AUST.DOLLAR,"16,746.00","16,540.00",2019-01-10,84
1,"17,243.27",CAD,CANADIAN DOLLAR,"17,667.00","17,415.00",2019-01-10,84
2,"23,469.06",CHF,SWISS FRANCE,"23,988.00","23,634.00",2019-01-10,84
3,,DKK,DANISH KRONE,"3,647.00","3,519.00",2019-01-10,84
4,"26,520.00",EUR,EURO,"27,309.41","26,643.85",2019-01-10,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-10,84
6,"29,228.00",GBP,BRITISH POUND,"29,848.00","29,454.18",2019-01-10,84
7,"2,916.94",HKD,HONGKONG DOLLAR,"2,985.00","2,937.00",2019-01-10,84
8,207.51,JPY,JAPANESE YEN,216.45,209.61,2019-01-10,84
9,18.53,KRW,SOUTH KOREAN WON,21.64,19.71,2019-01-10,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-10,84
11,,NOK,NORWEGIAN KRONER,"2,783.00","2,685.00",2019-01-10,84
12,,SEK,SWEDISH KRONA,"2,657.00","2,566.00",2019-01-10,84
13,"16,951.43",SGD,SINGAPORE DOLLAR,"17,265.00","17,044.00",2019-01-10,84
14,647.00,THB,THAI BAHT,743.00,711.00,2019-01-10,84
15,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-10,84
0,"16,443.57",AUD,AUST.DOLLAR,"16,723.51","16,542.83",2019-01-10,73
1,"17,258.27",CAD,CANADIAN DOLLAR,"17,605.20","17,415.00",2019-01-10,73
2,"23,489.06",CHF,SWISS FRANCE,"23,960.86","23,654.64",2019-01-10,73
3,,DKK,DANISH KRONE,"3,641.62","3,530.94",2019-01-10,73
4,"26,563.92",EUR,EURO,"27,309.41","26,643.85",2019-01-10,73
5,"29,248.00",GBP,BRITISH POUND,"29,716.37","29,454.18",2019-01-10,73
6,"2,916.94",HKD,HONGKONG DOLLAR,"2,981.48","2,937.50",2019-01-10,73
7,,INR,INDIAN RUPEE,340.75,327.88,2019-01-10,73
8,207.51,JPY,JAPANESE YEN,216.12,209.61,2019-01-10,73
9,19.40,KRW,SOUTH KOREAN WON,21.06,20.42,2019-01-10,73
10,,KWD,KUWAITI DINAR,"79,440.48","76,441.11",2019-01-10,73
11,,MYR,MALAYSIAN RINGGIT,"5,698.09","5,625.27",2019-01-10,73
12,,NOK,NORWEGIAN KRONER,"2,775.46","2,691.10",2019-01-10,73
13,,SEK,SWEDISH KRONA,"2,643.49","2,578.57",2019-01-10,73
14,"16,951.43",SGD,SINGAPORE DOLLAR,"17,257.37","17,070.93",2019-01-10,73
15,711.88,THB,THAI BAHT,741.58,711.88,2019-01-10,73
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-10,73
0,"16,433.57",AUD,AUST.DOLLAR,"16,728.51","16,537.83",2019-01-10,105
1,"17,248.27",CAD,CANADIAN DOLLAR,"17,610.20","17,410.00",2019-01-10,105
2,"23,479.06",CHF,SWISS FRANCE,"23,965.86","23,649.64",2019-01-10,105
3,,DKK,DANISH KRONE,"3,641.62","3,530.94",2019-01-10,105
4,"26,553.92",EUR,EURO,"27,314.41","26,638.85",2019-01-10,105
5,"29,238.00",GBP,BRITISH POUND,"29,721.37","29,449.18",2019-01-10,105
6,"2,906.94",HKD,HONGKONG DOLLAR,"2,986.48","2,932.50",2019-01-10,105
7,,INR,INDIAN RUPEE,340.75,327.88,2019-01-10,105
8,205.51,JPY,JAPANESE YEN,218.12,207.61,2019-01-10,105
9,19.40,KRW,SOUTH KOREAN WON,21.06,20.42,2019-01-10,105
10,,KWD,KUWAITI DINAR,"78,809.74","75,832.98",2019-01-10,105
11,,MYR,MALAYSIAN RINGGIT,"5,892.68","5,817.28",2019-01-10,105
12,,NOK,NORWEGIAN KRONER,"2,775.46","2,691.10",2019-01-10,105
13,,SEK,SWEDISH KRONA,"2,643.49","2,578.57",2019-01-10,105
14,"16,941.43",SGD,SINGAPORE DOLLAR,"17,262.37","17,065.93",2019-01-10,105
15,691.88,THB,THAI BAHT,746.58,706.88,2019-01-10,105
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-10,105
0,,ATS,SCHILING AUSTRIA,969.13,955.69,2019-01-10,64
1,"16,443.57",AUD,AUST.DOLLAR,"16,723.51","16,542.83",2019-01-10,64
2,"17,258.27",CAD,CANADIAN DOLLAR,"17,605.20","17,415.00",2019-01-10,64
3,"23,489.06",CHF,SWISS FRANCE,"23,960.86","23,654.64",2019-01-10,64
4,,DKK,DANISH KRONE,"3,641.62","3,530.94",2019-01-10,64
5,"26,563.92",EUR,EURO,"27,309.41","26,643.85",2019-01-10,64
6,"1,990.77",FRF,FRENCH FRANC,"2,033.00","2,004.80",2019-01-10,64
7,"29,248.00",GBP,BRITISH POUND,"29,716.37","29,454.18",2019-01-10,64
8,"2,916.94",HKD,HONGKONG DOLLAR,"2,981.48","2,937.50",2019-01-10,64
9,,INR,INDIAN RUPEE,340.75,327.88,2019-01-10,64
10,207.51,JPY,JAPANESE YEN,216.12,209.61,2019-01-10,64
11,19.40,KRW,SOUTH KOREAN WON,21.06,20.42,2019-01-10,64
12,,KWD,KUWAITI DINAR,"79,440.48","76,441.11",2019-01-10,64
13,,MYR,MALAYSIAN RINGGIT,"5,698.09","5,625.27",2019-01-10,64
14,,NOK,NORWEGIAN KRONER,"2,775.46","2,691.10",2019-01-10,64
15,,SEK,SWEDISH KRONA,"2,643.49","2,578.57",2019-01-10,64
16,"16,951.43",SGD,SINGAPORE DOLLAR,"17,257.37","17,070.93",2019-01-10,64
17,711.88,THB,THAI BAHT,741.58,711.88,2019-01-10,64
18,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-10,64
0,"16,341.29",AUD,AUST.DOLLAR,"16,741.17","16,440.53",2019-01-10,89
1,"17,192.21",CAD,CANADIAN DOLLAR,"17,659.82","17,349.25",2019-01-10,89
2,"23,413.20",CHF,SWISS FRANCE,"24,005.48","23,578.95",2019-01-10,89
3,,DKK,DANISH KRONE,"3,646.19","3,485.37",2019-01-10,89
4,"26,498.45",EUR,EURO,"27,364.91","26,578.49",2019-01-10,89
5,"29,235.14",GBP,BRITISH POUND,"29,824.90","29,441.93",2019-01-10,89
6,"2,896.83",HKD,HONGKONG DOLLAR,"2,986.37","2,917.39",2019-01-10,89
