,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,209.00",AUD,AUST.DOLLAR,"16,526.00","16,307.00",2019-03-14,15
1,"17,174.00",CAD,CANADIAN DOLLAR,"17,560.00","17,330.00",2019-03-14,15
2,"22,804.00",CHF,SWISS FRANCE,"23,303.00","22,965.00",2019-03-14,15
3,,DKK,DANISH KRONE,"3,593.00","3,454.00",2019-03-14,15
4,"26,068.00",EUR,EURO,"26,841.00","26,146.00",2019-03-14,15
5,"30,445.00",GBP,BRITISH POUND,"30,973.00","30,660.00",2019-03-14,15
6,"2,898.00",HKD,HONGKONG DOLLAR,"2,993.00","2,918.00",2019-03-14,15
7,,INR,INDIAN RUPEE,361.00,317.00,2019-03-14,15
8,196.00,JPY,JAPANESE YEN,216.00,197.00,2019-03-14,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-03-14,15
10,,KWD,KUWAITI DINAR,"79,133.00","76,115.00",2019-03-14,15
11,,MYR,MALAYSIAN RINGGIT,"5,731.00","5,628.00",2019-03-14,15
12,,NOK,NORWEGIAN KRONER,"2,766.00","2,652.00",2019-03-14,15
13,,SEK,SWEDISH KRONA,"2,542.00","2,450.00",2019-03-14,15
14,"16,913.00",SGD,SINGAPORE DOLLAR,"17,259.00","17,033.00",2019-03-14,15
15,713.00,THB,THAI BAHT,755.00,713.00,2019-03-14,15
16,"23,140.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-14,15
0,"16,204.24",AUD,AUST.DOLLAR,"16,510.51","16,307.20",2019-03-14,61
1,"17,169.49",CAD,CANADIAN DOLLAR,"17,545.14","17,330.65",2019-03-14,61
2,"22,799.13",CHF,SWISS FRANCE,"23,287.58","22,965.03",2019-03-14,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-03-14,61
4,,DKK,DANISH KRONE,"3,577.92","3,469.17",2019-03-14,61
5,"26,063.36",EUR,EURO,"26,825.50","26,146.86",2019-03-14,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-03-14,61
7,"30,440.30",GBP,BRITISH POUND,"30,958.16","30,660.06",2019-03-14,61
8,"2,909.25",HKD,HONGKONG DOLLAR,"2,981.72","2,929.79",2019-03-14,61
9,,INR,INDIAN RUPEE,345.97,332.91,2019-03-14,61
10,196.60,JPY,JAPANESE YEN,209.54,203.14,2019-03-14,61
11,18.84,KRW,SOUTH KOREAN WON,21.18,19.84,2019-03-14,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-03-14,61
13,,MYR,MALAYSIAN RINGGIT,"5,716.06","5,643.01",2019-03-14,61
14,,NOK,NORWEGIAN KRONER,"2,751.16","2,667.55",2019-03-14,61
15,,SEK,SWEDISH KRONA,"2,527.10","2,465.04",2019-03-14,61
16,"16,908.79",SGD,SINGAPORE DOLLAR,"17,244.40","17,033.16",2019-03-14,61
