,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,517.00",AUD,AUST.DOLLAR,"16,839.00","16,617.00",2019-01-12,15
1,"17,295.00",CAD,CANADIAN DOLLAR,"17,684.00","17,453.00",2019-01-12,15
2,"23,251.00",CHF,SWISS FRANCE,"23,759.00","23,415.00",2019-01-12,15
3,,DKK,DANISH KRONE,"3,651.00","3,510.00",2019-01-12,15
4,"26,504.00",EUR,EURO,"27,289.00","26,584.00",2019-01-12,15
5,"29,221.00",GBP,BRITISH POUND,"29,729.00","29,427.00",2019-01-12,15
6,"2,901.00",HKD,HONGKONG DOLLAR,"2,996.00","2,921.00",2019-01-12,15
7,,INR,INDIAN RUPEE,356.00,313.00,2019-01-12,15
8,201.00,JPY,JAPANESE YEN,221.00,202.00,2019-01-12,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-12,15
10,,KWD,KUWAITI DINAR,"79,429.00","76,400.00",2019-01-12,15
11,,MYR,MALAYSIAN RINGGIT,"5,719.00","5,615.00",2019-01-12,15
12,,NOK,NORWEGIAN KRONER,"2,799.00","2,684.00",2019-01-12,15
13,,SEK,SWEDISH KRONA,"2,658.00","2,563.00",2019-01-12,15
14,"16,932.00",SGD,SINGAPORE DOLLAR,"17,279.00","17,052.00",2019-01-12,15
15,706.00,THB,THAI BAHT,748.00,706.00,2019-01-12,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-12,15
0,"16,459.85",AUD,AUST.DOLLAR,"16,770.48","16,564.36",2019-01-12,61
1,"17,256.75",CAD,CANADIAN DOLLAR,"17,634.15","17,418.70",2019-01-12,61
2,"23,241.97",CHF,SWISS FRANCE,"23,739.31","23,410.99",2019-01-12,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-12,61
4,,DKK,DANISH KRONE,"3,633.20","3,522.77",2019-01-12,61
5,"26,476.76",EUR,EURO,"27,250.50","26,561.50",2019-01-12,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-12,61
7,"29,216.12",GBP,BRITISH POUND,"29,714.38","29,427.25",2019-01-12,61
8,"2,912.79",HKD,HONGKONG DOLLAR,"2,985.33","2,933.35",2019-01-12,61
9,,INR,INDIAN RUPEE,341.50,328.61,2019-01-12,61
10,201.65,JPY,JAPANESE YEN,215.22,208.24,2019-01-12,61
11,19.15,KRW,SOUTH KOREAN WON,21.31,20.17,2019-01-12,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-12,61
13,,MYR,MALAYSIAN RINGGIT,"5,703.66","5,630.76",2019-01-12,61
14,,NOK,NORWEGIAN KRONER,"2,780.08","2,695.58",2019-01-12,61
15,,SEK,SWEDISH KRONA,"2,641.52","2,576.66",2019-01-12,61
16,"16,926.43",SGD,SINGAPORE DOLLAR,"17,262.37","17,050.93",2019-01-12,61
17,712.55,THB,THAI BAHT,742.27,712.55,2019-01-12,61
18,"23,120.00",USD,US DOLLAR,"23,240.00","23,150.00",2019-01-12,61
0,"16,502.00",AUD,AUST.DOLLAR,"16,819.12","16,600.00",2019-01-12,84
1,"17,293.00",CAD,CANADIAN DOLLAR,"17,663.87","17,395.00",2019-01-12,84
2,"23,251.70",CHF,SWISS FRANCE,"23,744.00","23,394.00",2019-01-12,84
3,,DKK,DANISH KRONE,"3,637.00","3,509.00",2019-01-12,84
4,"26,434.00",EUR,EURO,"27,269.17","26,567.00",2019-01-12,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-12,84
6,"29,221.12",GBP,BRITISH POUND,"29,753.00","29,416.00",2019-01-12,84
7,"2,916.04",HKD,HONGKONG DOLLAR,"2,985.00","2,936.00",2019-01-12,84
8,206.62,JPY,JAPANESE YEN,216.07,208.71,2019-01-12,84
9,18.54,KRW,SOUTH KOREAN WON,21.66,19.72,2019-01-12,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-12,84
11,,NOK,NORWEGIAN KRONER,"2,783.69","2,685.00",2019-01-12,84
12,,SEK,SWEDISH KRONA,"2,647.00","2,557.00",2019-01-12,84
13,"16,952.68",SGD,SINGAPORE DOLLAR,"17,287.00","17,066.00",2019-01-12,84
14,647.00,THB,THAI BAHT,743.00,711.00,2019-01-12,84
15,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-12,84
0,"16,537.60",AUD,AUST.DOLLAR,"16,819.12","16,637.42",2019-01-12,73
1,"17,315.78",CAD,CANADIAN DOLLAR,"17,663.87","17,473.04",2019-01-12,73
2,"23,271.70",CHF,SWISS FRANCE,"23,739.14","23,435.75",2019-01-12,73
3,,DKK,DANISH KRONE,"3,636.28","3,525.76",2019-01-12,73
4,"26,524.78",EUR,EURO,"27,269.17","26,604.59",2019-01-12,73
5,"29,241.12",GBP,BRITISH POUND,"29,709.38","29,447.25",2019-01-12,73
6,"2,916.04",HKD,HONGKONG DOLLAR,"2,980.57","2,936.60",2019-01-12,73
7,,INR,INDIAN RUPEE,341.28,328.40,2019-01-12,73
8,206.62,JPY,JAPANESE YEN,215.18,208.71,2019-01-12,73
9,19.44,KRW,SOUTH KOREAN WON,21.10,20.46,2019-01-12,73
10,,KWD,KUWAITI DINAR,"79,414.24","76,415.86",2019-01-12,73
11,,MYR,MALAYSIAN RINGGIT,"5,703.66","5,630.76",2019-01-12,73
12,,NOK,NORWEGIAN KRONER,"2,783.69","2,699.09",2019-01-12,73
13,,SEK,SWEDISH KRONA,"2,643.34","2,578.42",2019-01-12,73
14,"16,952.68",SGD,SINGAPORE DOLLAR,"17,258.65","17,072.19",2019-01-12,73
15,712.55,THB,THAI BAHT,742.27,712.55,2019-01-12,73
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-12,73
