,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,459.00",AUD,AUST.DOLLAR,"16,780.00","16,558.00",2019-02-27,15
1,"17,350.00",CAD,CANADIAN DOLLAR,"17,740.00","17,508.00",2019-02-27,15
2,"22,870.00",CHF,SWISS FRANCE,"23,370.00","23,031.00",2019-02-27,15
3,,DKK,DANISH KRONE,"3,613.00","3,473.00",2019-02-27,15
4,"26,211.00",EUR,EURO,"26,987.00","26,290.00",2019-02-27,15
5,"30,381.00",GBP,BRITISH POUND,"30,908.00","30,595.00",2019-02-27,15
6,"2,898.00",HKD,HONGKONG DOLLAR,"2,993.00","2,918.00",2019-02-27,15
7,,INR,INDIAN RUPEE,354.00,310.00,2019-02-27,15
8,197.00,JPY,JAPANESE YEN,217.00,198.00,2019-02-27,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-02-27,15
10,,KWD,KUWAITI DINAR,"79,315.00","76,291.00",2019-02-27,15
11,,MYR,MALAYSIAN RINGGIT,"5,756.00","5,652.00",2019-02-27,15
12,,NOK,NORWEGIAN KRONER,"2,770.00","2,655.00",2019-02-27,15
13,,SEK,SWEDISH KRONA,"2,548.00","2,455.00",2019-02-27,15
14,"16,980.00",SGD,SINGAPORE DOLLAR,"17,327.00","17,100.00",2019-02-27,15
15,720.00,THB,THAI BAHT,763.00,720.00,2019-02-27,15
16,"23,140.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-02-27,15
0,"16,454.23",AUD,AUST.DOLLAR,"16,764.77","16,558.70",2019-02-27,61
1,"17,345.82",CAD,CANADIAN DOLLAR,"17,725.02","17,508.58",2019-02-27,61
2,"22,865.33",CHF,SWISS FRANCE,"23,355.10","23,031.69",2019-02-27,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-02-27,61
4,,DKK,DANISH KRONE,"3,598.08","3,488.72",2019-02-27,61
5,"26,206.14",EUR,EURO,"26,972.28","26,290.07",2019-02-27,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-02-27,61
7,"30,376.08",GBP,BRITISH POUND,"30,892.91","30,595.39",2019-02-27,61
8,"2,909.40",HKD,HONGKONG DOLLAR,"2,981.87","2,929.94",2019-02-27,61
9,,INR,INDIAN RUPEE,338.76,325.97,2019-02-27,61
10,197.84,JPY,JAPANESE YEN,210.83,204.39,2019-02-27,61
11,19.07,KRW,SOUTH KOREAN WON,21.44,20.09,2019-02-27,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-02-27,61
13,,MYR,MALAYSIAN RINGGIT,"5,741.36","5,667.98",2019-02-27,61
14,,NOK,NORWEGIAN KRONER,"2,754.70","2,670.98",2019-02-27,61
15,,SEK,SWEDISH KRONA,"2,532.96","2,470.76",2019-02-27,61
16,"16,975.38",SGD,SINGAPORE DOLLAR,"17,312.19","17,100.22",2019-02-27,61
17,726.37,THB,THAI BAHT,756.67,726.37,2019-02-27,61
18,"23,120.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-02-27,61
0,"16,464.23",AUD,AUST.DOLLAR,"16,795.00","16,578.70",2019-02-27,84
1,"17,355.82",CAD,CANADIAN DOLLAR,"17,734.00","17,485.00",2019-02-27,84
2,"22,870.33",CHF,SWISS FRANCE,"23,374.00","23,010.00",2019-02-27,84
3,,DKK,DANISH KRONE,"3,599.00","3,467.00",2019-02-27,84
4,"26,143.00",EUR,EURO,"26,967.28","26,274.00",2019-02-27,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-02-27,84
6,"30,381.08",GBP,BRITISH POUND,"30,921.00","30,578.00",2019-02-27,84
7,"2,913.40",HKD,HONGKONG DOLLAR,"2,981.00","2,931.00",2019-02-27,84
8,202.84,JPY,JAPANESE YEN,211.14,204.89,2019-02-27,84
9,18.57,KRW,SOUTH KOREAN WON,21.68,19.75,2019-02-27,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-02-27,84
11,,NOK,NORWEGIAN KRONER,"2,755.00","2,659.00",2019-02-27,84
12,,SEK,SWEDISH KRONA,"2,537.00","2,451.00",2019-02-27,84
13,"17,000.38",SGD,SINGAPORE DOLLAR,"17,338.00","17,112.00",2019-02-27,84
14,660.00,THB,THAI BAHT,758.00,725.00,2019-02-27,84
15,"23,150.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-02-27,84
0,"16,479.23",AUD,AUST.DOLLAR,"16,759.77","16,578.70",2019-02-27,73
1,"17,370.82",CAD,CANADIAN DOLLAR,"17,720.02","17,528.58",2019-02-27,73
2,"22,890.33",CHF,SWISS FRANCE,"23,350.10","23,051.69",2019-02-27,73
3,,DKK,DANISH KRONE,"3,598.08","3,488.72",2019-02-27,73
4,"26,231.14",EUR,EURO,"26,967.28","26,310.07",2019-02-27,73
5,"30,401.08",GBP,BRITISH POUND,"30,887.91","30,615.39",2019-02-27,73
6,"2,913.40",HKD,HONGKONG DOLLAR,"2,977.87","2,933.94",2019-02-27,73
7,,INR,INDIAN RUPEE,338.76,325.97,2019-02-27,73
8,202.84,JPY,JAPANESE YEN,210.83,204.89,2019-02-27,73
9,19.32,KRW,SOUTH KOREAN WON,21.19,20.34,2019-02-27,73
10,,KWD,KUWAITI DINAR,"79,300.41","76,306.34",2019-02-27,73
11,,MYR,MALAYSIAN RINGGIT,"5,741.36","5,667.98",2019-02-27,73
12,,NOK,NORWEGIAN KRONER,"2,754.70","2,670.98",2019-02-27,73
13,,SEK,SWEDISH KRONA,"2,532.96","2,470.76",2019-02-27,73
14,"17,000.38",SGD,SINGAPORE DOLLAR,"17,307.19","17,120.22",2019-02-27,73
15,726.37,THB,THAI BAHT,756.67,726.37,2019-02-27,73
16,"23,150.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-02-27,73
0,"16,469.23",AUD,AUST.DOLLAR,"16,764.77","16,573.70",2019-02-27,105
