,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,182.00",AUD,AUST.DOLLAR,"16,499.00","16,280.00",2019-02-12,15
1,"17,167.00",CAD,CANADIAN DOLLAR,"17,553.00","17,323.00",2019-02-12,15
2,"22,790.00",CHF,SWISS FRANCE,"23,289.00","22,951.00",2019-02-12,15
3,,DKK,DANISH KRONE,"3,577.00","3,438.00",2019-02-12,15
4,"25,954.00",EUR,EURO,"26,723.00","26,032.00",2019-02-12,15
5,"29,486.00",GBP,BRITISH POUND,"29,999.00","29,694.00",2019-02-12,15
6,"2,899.00",HKD,HONGKONG DOLLAR,"2,994.00","2,920.00",2019-02-12,15
7,,INR,INDIAN RUPEE,353.00,310.00,2019-02-12,15
8,197.00,JPY,JAPANESE YEN,217.00,198.00,2019-02-12,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-02-12,15
10,,KWD,KUWAITI DINAR,"79,437.00","76,408.00",2019-02-12,15
11,,MYR,MALAYSIAN RINGGIT,"5,746.00","5,643.00",2019-02-12,15
12,,NOK,NORWEGIAN KRONER,"2,721.00","2,609.00",2019-02-12,15
13,,SEK,SWEDISH KRONA,"2,541.00","2,448.00",2019-02-12,15
14,"16,830.00",SGD,SINGAPORE DOLLAR,"17,174.00","16,949.00",2019-02-12,15
15,717.00,THB,THAI BAHT,760.00,717.00,2019-02-12,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-02-12,15
0,"16,177.92",AUD,AUST.DOLLAR,"16,483.74","16,280.72",2019-02-12,61
1,"17,162.86",CAD,CANADIAN DOLLAR,"17,538.37","17,323.96",2019-02-12,61
2,"22,785.86",CHF,SWISS FRANCE,"23,274.04","22,951.66",2019-02-12,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-02-12,61
4,,DKK,DANISH KRONE,"3,562.03","3,453.77",2019-02-12,61
5,"25,949.21",EUR,EURO,"26,708.15","26,032.37",2019-02-12,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-02-12,61
7,"29,481.08",GBP,BRITISH POUND,"29,983.57","29,694.08",2019-02-12,61
8,"2,910.77",HKD,HONGKONG DOLLAR,"2,983.27","2,931.32",2019-02-12,61
9,,INR,INDIAN RUPEE,338.21,325.44,2019-02-12,61
10,197.82,JPY,JAPANESE YEN,211.22,204.37,2019-02-12,61
11,19.05,KRW,SOUTH KOREAN WON,21.31,20.07,2019-02-12,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-02-12,61
13,,MYR,MALAYSIAN RINGGIT,"5,731.32","5,658.08",2019-02-12,61
14,,NOK,NORWEGIAN KRONER,"2,706.32","2,624.07",2019-02-12,61
15,,SEK,SWEDISH KRONA,"2,525.71","2,463.69",2019-02-12,61
16,"16,825.27",SGD,SINGAPORE DOLLAR,"17,159.37","16,949.05",2019-02-12,61
17,723.98,THB,THAI BAHT,754.18,723.98,2019-02-12,61
18,"23,125.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-02-12,61
0,"16,186.00",AUD,AUST.DOLLAR,"16,493.00","16,282.00",2019-02-12,84
1,"17,172.86",CAD,CANADIAN DOLLAR,"17,554.00","17,303.00",2019-02-12,84
2,"22,784.00",CHF,SWISS FRANCE,"23,286.00","22,919.00",2019-02-12,84
3,,DKK,DANISH KRONE,"3,563.00","3,431.00",2019-02-12,84
4,"25,881.00",EUR,EURO,"26,703.15","26,011.00",2019-02-12,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-02-12,84
