,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,387.00",AUD,AUST.DOLLAR,"16,707.00","16,486.00",2019-02-25,15
1,"17,405.00",CAD,CANADIAN DOLLAR,"17,796.00","17,564.00",2019-02-25,15
2,"22,908.00",CHF,SWISS FRANCE,"23,409.00","23,069.00",2019-02-25,15
3,,DKK,DANISH KRONE,"3,602.00","3,462.00",2019-02-25,15
4,"26,133.00",EUR,EURO,"26,908.00","26,212.00",2019-02-25,15
5,"29,985.00",GBP,BRITISH POUND,"30,506.00","30,196.00",2019-02-25,15
6,"2,900.00",HKD,HONGKONG DOLLAR,"2,995.00","2,921.00",2019-02-25,15
7,,INR,INDIAN RUPEE,354.00,311.00,2019-02-25,15
8,197.00,JPY,JAPANESE YEN,217.00,198.00,2019-02-25,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-02-25,15
10,,KWD,KUWAITI DINAR,"79,314.00","76,290.00",2019-02-25,15
11,,MYR,MALAYSIAN RINGGIT,"5,760.00","5,656.00",2019-02-25,15
12,,NOK,NORWEGIAN KRONER,"2,760.00","2,646.00",2019-02-25,15
13,,SEK,SWEDISH KRONA,"2,537.00","2,445.00",2019-02-25,15
14,"16,964.00",SGD,SINGAPORE DOLLAR,"17,311.00","17,084.00",2019-02-25,15
15,721.00,THB,THAI BAHT,764.00,721.00,2019-02-25,15
16,"23,155.00",USD,US DOLLAR,"23,265.00","23,165.00",2019-02-25,15
0,"16,403.97",AUD,AUST.DOLLAR,"16,713.65","16,508.14",2019-02-25,61
1,"17,398.32",CAD,CANADIAN DOLLAR,"17,778.56","17,561.55",2019-02-25,61
2,"22,882.07",CHF,SWISS FRANCE,"23,372.17","23,048.55",2019-02-25,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-02-25,61
4,,DKK,DANISH KRONE,"3,585.12","3,476.16",2019-02-25,61
5,"26,116.08",EUR,EURO,"26,879.69","26,199.74",2019-02-25,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-02-25,61
7,"29,960.11",GBP,BRITISH POUND,"30,470.27","30,176.49",2019-02-25,61
8,"2,911.14",HKD,HONGKONG DOLLAR,"2,983.65","2,931.69",2019-02-25,61
9,,INR,INDIAN RUPEE,338.81,326.02,2019-02-25,61
10,197.47,JPY,JAPANESE YEN,210.45,204.02,2019-02-25,61
11,19.04,KRW,SOUTH KOREAN WON,21.41,20.06,2019-02-25,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-02-25,61
13,,MYR,MALAYSIAN RINGGIT,"5,749.49","5,676.01",2019-02-25,61
14,,NOK,NORWEGIAN KRONER,"2,743.54","2,660.16",2019-02-25,61
15,,SEK,SWEDISH KRONA,"2,519.57","2,457.70",2019-02-25,61
16,"16,961.28",SGD,SINGAPORE DOLLAR,"17,297.84","17,086.02",2019-02-25,61
17,727.38,THB,THAI BAHT,757.72,727.38,2019-02-25,61
18,"23,130.00",USD,US DOLLAR,"23,260.00","23,160.00",2019-02-25,61
0,"16,392.27",AUD,AUST.DOLLAR,"16,710.00","16,504.00",2019-02-25,84
1,"17,410.74",CAD,CANADIAN DOLLAR,"17,784.00","17,537.00",2019-02-25,84
2,"22,892.00",CHF,SWISS FRANCE,"23,388.58","23,027.00",2019-02-25,84
3,,DKK,DANISH KRONE,"3,586.98","3,453.00",2019-02-25,84
