,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,317.00",AUD,AUST.DOLLAR,"16,635.00","16,415.00",2019-01-07,15
1,"17,084.00",CAD,CANADIAN DOLLAR,"17,468.00","17,239.00",2019-01-07,15
2,"23,211.00",CHF,SWISS FRANCE,"23,718.00","23,375.00",2019-01-07,15
3,,DKK,DANISH KRONE,"3,616.00","3,476.00",2019-01-07,15
4,"26,257.00",EUR,EURO,"27,035.00","26,336.00",2019-01-07,15
5,"29,190.00",GBP,BRITISH POUND,"29,699.00","29,396.00",2019-01-07,15
6,"2,904.00",HKD,HONGKONG DOLLAR,"2,999.00","2,924.00",2019-01-07,15
7,,INR,INDIAN RUPEE,361.00,317.00,2019-01-07,15
8,202.00,JPY,JAPANESE YEN,221.00,203.00,2019-01-07,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-07,15
10,,KWD,KUWAITI DINAR,"79,368.00","76,341.00",2019-01-07,15
11,,MYR,MALAYSIAN RINGGIT,"5,685.00","5,582.00",2019-01-07,15
12,,NOK,NORWEGIAN KRONER,"2,754.00","2,640.00",2019-01-07,15
13,,SEK,SWEDISH KRONA,"2,640.00","2,545.00",2019-01-07,15
14,"16,846.00",SGD,SINGAPORE DOLLAR,"17,191.00","16,965.00",2019-01-07,15
15,706.00,THB,THAI BAHT,748.00,706.00,2019-01-07,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-07,15
0,"16,312.04",AUD,AUST.DOLLAR,"16,620.15","16,415.65",2019-01-07,61
1,"17,079.46",CAD,CANADIAN DOLLAR,"17,453.30","17,239.80",2019-01-07,61
2,"23,206.84",CHF,SWISS FRANCE,"23,703.47","23,375.61",2019-01-07,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-07,61
4,,DKK,DANISH KRONE,"3,601.05","3,491.60",2019-01-07,61
5,"26,252.19",EUR,EURO,"27,019.63","26,336.26",2019-01-07,61
