,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,195.00",AUD,AUST.DOLLAR,"16,512.00","16,293.00",2019-03-15,15
1,"17,151.00",CAD,CANADIAN DOLLAR,"17,536.00","17,307.00",2019-03-15,15
2,"22,779.00",CHF,SWISS FRANCE,"23,277.00","22,939.00",2019-03-15,15
3,,DKK,DANISH KRONE,"3,585.00","3,446.00",2019-03-15,15
4,"26,013.00",EUR,EURO,"26,784.00","26,091.00",2019-03-15,15
5,"30,353.00",GBP,BRITISH POUND,"30,880.00","30,567.00",2019-03-15,15
6,"2,898.00",HKD,HONGKONG DOLLAR,"2,993.00","2,918.00",2019-03-15,15
7,,INR,INDIAN RUPEE,362.00,318.00,2019-03-15,15
8,195.00,JPY,JAPANESE YEN,214.00,196.00,2019-03-15,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-03-15,15
10,,KWD,KUWAITI DINAR,"79,133.00","76,115.00",2019-03-15,15
11,,MYR,MALAYSIAN RINGGIT,"5,724.00","5,621.00",2019-03-15,15
12,,NOK,NORWEGIAN KRONER,"2,765.00","2,651.00",2019-03-15,15
13,,SEK,SWEDISH KRONA,"2,540.00","2,448.00",2019-03-15,15
14,"16,881.00",SGD,SINGAPORE DOLLAR,"17,226.00","17,000.00",2019-03-15,15
15,709.00,THB,THAI BAHT,751.00,709.00,2019-03-15,15
16,"23,140.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-15,15
0,"16,190.47",AUD,AUST.DOLLAR,"16,496.52","16,293.35",2019-03-15,61
1,"17,146.26",CAD,CANADIAN DOLLAR,"17,521.43","17,307.20",2019-03-15,61
2,"22,774.13",CHF,SWISS FRANCE,"23,262.07","22,939.85",2019-03-15,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-03-15,61
4,,DKK,DANISH KRONE,"3,570.06","3,461.55",2019-03-15,61
5,"26,008.10",EUR,EURO,"26,768.68","26,091.43",2019-03-15,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-03-15,61
7,"30,348.56",GBP,BRITISH POUND,"30,864.95","30,567.67",2019-03-15,61
8,"2,909.14",HKD,HONGKONG DOLLAR,"2,981.61","2,929.68",2019-03-15,61
9,,INR,INDIAN RUPEE,346.77,333.68,2019-03-15,61
10,195.53,JPY,JAPANESE YEN,208.44,202.06,2019-03-15,61
11,18.78,KRW,SOUTH KOREAN WON,21.11,19.78,2019-03-15,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-03-15,61
13,,MYR,MALAYSIAN RINGGIT,"5,709.07","5,636.11",2019-03-15,61
14,,NOK,NORWEGIAN KRONER,"2,750.07","2,666.49",2019-03-15,61
15,,SEK,SWEDISH KRONA,"2,525.20","2,463.19",2019-03-15,61
16,"16,876.31",SGD,SINGAPORE DOLLAR,"17,211.34","17,000.45",2019-03-15,61
17,715.40,THB,THAI BAHT,745.24,715.40,2019-03-15,61
18,"23,120.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-15,61
0,"16,200.47",AUD,AUST.DOLLAR,"16,511.00","16,303.00",2019-03-15,84
1,"17,156.26",CAD,CANADIAN DOLLAR,"17,526.00","17,297.00",2019-03-15,84
2,"22,779.13",CHF,SWISS FRANCE,"23,294.00","22,955.00",2019-03-15,84
3,,DKK,DANISH KRONE,"3,572.00","3,441.00",2019-03-15,84
4,"25,950.00",EUR,EURO,"26,763.68","26,080.00",2019-03-15,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-03-15,84
6,"30,353.56",GBP,BRITISH POUND,"30,889.00","30,546.00",2019-03-15,84
7,"2,913.14",HKD,HONGKONG DOLLAR,"2,981.00","2,931.00",2019-03-15,84
8,200.53,JPY,JAPANESE YEN,208.82,202.56,2019-03-15,84
9,18.27,KRW,SOUTH KOREAN WON,21.34,19.44,2019-03-15,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-03-15,84
11,,NOK,NORWEGIAN KRONER,"2,751.00","2,655.00",2019-03-15,84
12,,SEK,SWEDISH KRONA,"2,531.00","2,445.00",2019-03-15,84
13,"16,901.31",SGD,SINGAPORE DOLLAR,"17,231.00","17,006.00",2019-03-15,84
14,650.00,THB,THAI BAHT,746.00,714.00,2019-03-15,84
15,"23,150.00",USD,US DOLLAR,"23,250.00","23,150.00",2019-03-15,84
0,"16,215.47",AUD,AUST.DOLLAR,"16,491.52","16,313.35",2019-03-15,73
1,"17,171.26",CAD,CANADIAN DOLLAR,"17,516.43","17,327.20",2019-03-15,73
2,"22,799.13",CHF,SWISS FRANCE,"23,257.07","22,959.85",2019-03-15,73
3,,DKK,DANISH KRONE,"3,570.06","3,461.55",2019-03-15,73
4,"26,033.10",EUR,EURO,"26,763.68","26,111.43",2019-03-15,73
5,"30,373.56",GBP,BRITISH POUND,"30,859.95","30,587.67",2019-03-15,73
6,"2,913.14",HKD,HONGKONG DOLLAR,"2,977.61","2,933.68",2019-03-15,73
7,,INR,INDIAN RUPEE,346.77,333.68,2019-03-15,73
