,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,453.00",AUD,AUST.DOLLAR,"16,774.00","16,552.00",2019-01-28,15
1,"17,283.00",CAD,CANADIAN DOLLAR,"17,672.00","17,441.00",2019-01-28,15
2,"23,042.00",CHF,SWISS FRANCE,"23,546.00","23,205.00",2019-01-28,15
3,,DKK,DANISH KRONE,"3,617.00","3,477.00",2019-01-28,15
4,"26,256.00",EUR,EURO,"27,034.00","26,335.00",2019-01-28,15
5,"30,246.00",GBP,BRITISH POUND,"30,771.00","30,459.00",2019-01-28,15
6,"2,898.00",HKD,HONGKONG DOLLAR,"2,993.00","2,919.00",2019-01-28,15
7,,INR,INDIAN RUPEE,354.00,311.00,2019-01-28,15
8,199.00,JPY,JAPANESE YEN,219.00,200.00,2019-01-28,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-28,15
10,,KWD,KUWAITI DINAR,"79,324.00","76,300.00",2019-01-28,15
11,,MYR,MALAYSIAN RINGGIT,"5,699.00","5,596.00",2019-01-28,15
12,,NOK,NORWEGIAN KRONER,"2,784.00","2,669.00",2019-01-28,15
13,,SEK,SWEDISH KRONA,"2,613.00","2,519.00",2019-01-28,15
14,"16,920.00",SGD,SINGAPORE DOLLAR,"17,266.00","17,039.00",2019-01-28,15
15,716.00,THB,THAI BAHT,759.00,716.00,2019-01-28,15
16,"23,140.00",USD,US DOLLAR,"23,240.00","23,150.00",2019-01-28,15
0,"16,448.38",AUD,AUST.DOLLAR,"16,758.82","16,552.82",2019-01-28,61
1,"17,278.99",CAD,CANADIAN DOLLAR,"17,656.84","17,441.14",2019-01-28,61
2,"23,037.98",CHF,SWISS FRANCE,"23,531.22","23,205.56",2019-01-28,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-28,61
4,,DKK,DANISH KRONE,"3,601.76","3,492.29",2019-01-28,61
5,"26,251.13",EUR,EURO,"27,018.54","26,335.20",2019-01-28,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-28,61
7,"30,241.11",GBP,BRITISH POUND,"30,755.79","30,459.47",2019-01-28,61
8,"2,909.89",HKD,HONGKONG DOLLAR,"2,982.37","2,930.43",2019-01-28,61
9,,INR,INDIAN RUPEE,339.21,326.40,2019-01-28,61
10,199.70,JPY,JAPANESE YEN,213.18,206.27,2019-01-28,61
11,19.16,KRW,SOUTH KOREAN WON,21.43,20.18,2019-01-28,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-28,61
13,,MYR,MALAYSIAN RINGGIT,"5,684.21","5,611.57",2019-01-28,61
14,,NOK,NORWEGIAN KRONER,"2,768.90","2,684.75",2019-01-28,61
15,,SEK,SWEDISH KRONA,"2,598.39","2,534.58",2019-01-28,61
16,"16,915.15",SGD,SINGAPORE DOLLAR,"17,250.88","17,039.57",2019-01-28,61
17,722.75,THB,THAI BAHT,752.90,722.75,2019-01-28,61
18,"23,120.00",USD,US DOLLAR,"23,240.00","23,150.00",2019-01-28,61
0,"16,441.00",AUD,AUST.DOLLAR,"16,753.82","16,539.00",2019-01-28,84
1,"17,288.99",CAD,CANADIAN DOLLAR,"17,658.00","17,406.00",2019-01-28,84
2,"23,042.00",CHF,SWISS FRANCE,"23,550.00","23,178.00",2019-01-28,84
3,,DKK,DANISH KRONE,"3,601.76","3,474.00",2019-01-28,84
4,"26,184.00",EUR,EURO,"27,013.54","26,316.00",2019-01-28,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-28,84
6,"30,246.11",GBP,BRITISH POUND,"30,771.00","30,422.00",2019-01-28,84
7,"2,913.89",HKD,HONGKONG DOLLAR,"2,981.00","2,932.00",2019-01-28,84
8,204.70,JPY,JAPANESE YEN,213.88,206.77,2019-01-28,84
9,18.53,KRW,SOUTH KOREAN WON,21.64,19.71,2019-01-28,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-28,84
11,,NOK,NORWEGIAN KRONER,"2,769.00","2,671.00",2019-01-28,84
12,,SEK,SWEDISH KRONA,"2,602.00","2,513.00",2019-01-28,84
