,Buy,Currency Code,Currency Name,Sell,Transfer,date,branchID
0,"16,319.00",AUD,AUST.DOLLAR,"16,637.00","16,417.00",2019-01-23,15
1,"17,122.00",CAD,CANADIAN DOLLAR,"17,508.00","17,278.00",2019-01-23,15
2,"22,936.00",CHF,SWISS FRANCE,"23,438.00","23,098.00",2019-01-23,15
3,,DKK,DANISH KRONE,"3,601.00","3,462.00",2019-01-23,15
4,"26,146.00",EUR,EURO,"26,921.00","26,225.00",2019-01-23,15
5,"29,686.00",GBP,BRITISH POUND,"30,202.00","29,895.00",2019-01-23,15
6,"2,899.00",HKD,HONGKONG DOLLAR,"2,994.00","2,919.00",2019-01-23,15
7,,INR,INDIAN RUPEE,353.00,310.00,2019-01-23,15
8,199.00,JPY,JAPANESE YEN,219.00,200.00,2019-01-23,15
9,,KRW,SOUTH KOREAN WON,25.00,16.00,2019-01-23,15
10,,KWD,KUWAITI DINAR,"79,473.00","76,442.00",2019-01-23,15
11,,MYR,MALAYSIAN RINGGIT,"5,669.00","5,566.00",2019-01-23,15
12,,NOK,NORWEGIAN KRONER,"2,755.00","2,641.00",2019-01-23,15
13,,SEK,SWEDISH KRONA,"2,618.00","2,524.00",2019-01-23,15
14,"16,830.00",SGD,SINGAPORE DOLLAR,"17,174.00","16,949.00",2019-01-23,15
15,710.00,THB,THAI BAHT,752.00,710.00,2019-01-23,15
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,15
0,"16,314.32",AUD,AUST.DOLLAR,"16,622.48","16,417.95",2019-01-23,61
1,"17,117.93",CAD,CANADIAN DOLLAR,"17,492.54","17,278.62",2019-01-23,61
2,"22,931.90",CHF,SWISS FRANCE,"23,423.01","23,098.73",2019-01-23,61
3,,DEM,DEUTSCHE MARK,"7,631.17","7,525.08",2019-01-23,61
4,,DKK,DANISH KRONE,"3,586.36","3,477.36",2019-01-23,61
5,"26,141.65",EUR,EURO,"26,905.99","26,225.39",2019-01-23,61
6,,FRF,FRENCH FRANC,"2,275.34","2,243.71",2019-01-23,61
7,"29,681.14",GBP,BRITISH POUND,"30,186.84","29,895.55",2019-01-23,61
8,"2,910.22",HKD,HONGKONG DOLLAR,"2,982.71","2,930.76",2019-01-23,61
9,,INR,INDIAN RUPEE,337.79,325.04,2019-01-23,61
10,199.88,JPY,JAPANESE YEN,212.95,206.45,2019-01-23,61
11,18.95,KRW,SOUTH KOREAN WON,21.09,19.96,2019-01-23,61
12,,KWD,KUWAITI DINAR,"55,957.50","54,832.30",2019-01-23,61
13,,MYR,MALAYSIAN RINGGIT,"5,653.78","5,581.52",2019-01-23,61
14,,NOK,NORWEGIAN KRONER,"2,739.71","2,656.45",2019-01-23,61
15,,SEK,SWEDISH KRONA,"2,603.38","2,539.45",2019-01-23,61
16,"16,825.35",SGD,SINGAPORE DOLLAR,"17,159.46","16,949.13",2019-01-23,61
17,716.30,THB,THAI BAHT,746.18,716.30,2019-01-23,61
18,"23,125.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,61
0,"16,324.32",AUD,AUST.DOLLAR,"16,644.00","16,437.95",2019-01-23,84
1,"17,127.93",CAD,CANADIAN DOLLAR,"17,493.00","17,244.00",2019-01-23,84
2,"22,926.00",CHF,SWISS FRANCE,"23,418.01","23,061.00",2019-01-23,84
3,,DKK,DANISH KRONE,"3,587.00","3,461.00",2019-01-23,84
4,"26,083.00",EUR,EURO,"26,900.99","26,214.00",2019-01-23,84
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-23,84
6,"29,686.14",GBP,BRITISH POUND,"30,212.00","29,870.00",2019-01-23,84
7,"2,914.22",HKD,HONGKONG DOLLAR,"2,982.00","2,933.00",2019-01-23,84
8,204.88,JPY,JAPANESE YEN,213.90,206.95,2019-01-23,84
9,18.34,KRW,SOUTH KOREAN WON,21.42,19.51,2019-01-23,84
10,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-23,84
11,,NOK,NORWEGIAN KRONER,"2,740.00","2,644.00",2019-01-23,84
12,,SEK,SWEDISH KRONA,"2,609.00","2,520.00",2019-01-23,84
13,"16,850.35",SGD,SINGAPORE DOLLAR,"17,179.00","16,959.00",2019-01-23,84
14,650.00,THB,THAI BAHT,746.18,714.00,2019-01-23,84
15,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,84
0,"16,339.32",AUD,AUST.DOLLAR,"16,617.48","16,437.95",2019-01-23,73
1,"17,142.93",CAD,CANADIAN DOLLAR,"17,487.54","17,298.62",2019-01-23,73
2,"22,956.90",CHF,SWISS FRANCE,"23,418.01","23,118.73",2019-01-23,73
3,,DKK,DANISH KRONE,"3,586.36","3,477.36",2019-01-23,73
4,"26,166.65",EUR,EURO,"26,900.99","26,245.39",2019-01-23,73
5,"29,706.14",GBP,BRITISH POUND,"30,181.84","29,915.55",2019-01-23,73
6,"2,914.22",HKD,HONGKONG DOLLAR,"2,978.71","2,934.76",2019-01-23,73
7,,INR,INDIAN RUPEE,337.79,325.04,2019-01-23,73
8,204.88,JPY,JAPANESE YEN,212.95,206.95,2019-01-23,73
9,19.20,KRW,SOUTH KOREAN WON,20.84,20.21,2019-01-23,73
10,,KWD,KUWAITI DINAR,"79,457.59","76,457.59",2019-01-23,73
11,,MYR,MALAYSIAN RINGGIT,"5,653.78","5,581.52",2019-01-23,73
12,,NOK,NORWEGIAN KRONER,"2,739.71","2,656.45",2019-01-23,73
13,,SEK,SWEDISH KRONA,"2,603.38","2,539.45",2019-01-23,73
14,"16,850.35",SGD,SINGAPORE DOLLAR,"17,154.46","16,969.13",2019-01-23,73
15,716.30,THB,THAI BAHT,746.18,716.30,2019-01-23,73
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,73
0,"16,329.32",AUD,AUST.DOLLAR,"16,622.48","16,432.95",2019-01-23,105
1,"17,132.93",CAD,CANADIAN DOLLAR,"17,492.54","17,293.62",2019-01-23,105
2,"22,946.90",CHF,SWISS FRANCE,"23,423.01","23,113.73",2019-01-23,105
3,,DKK,DANISH KRONE,"3,586.36","3,477.36",2019-01-23,105
4,"26,156.65",EUR,EURO,"26,905.99","26,240.39",2019-01-23,105
5,"29,696.14",GBP,BRITISH POUND,"30,186.84","29,910.55",2019-01-23,105
6,"2,904.22",HKD,HONGKONG DOLLAR,"2,983.71","2,929.76",2019-01-23,105
7,,INR,INDIAN RUPEE,337.79,325.04,2019-01-23,105
8,202.88,JPY,JAPANESE YEN,214.95,204.95,2019-01-23,105
9,19.20,KRW,SOUTH KOREAN WON,20.84,20.21,2019-01-23,105
10,,KWD,KUWAITI DINAR,"78,809.74","75,832.98",2019-01-23,105
11,,MYR,MALAYSIAN RINGGIT,"5,892.68","5,817.28",2019-01-23,105
12,,NOK,NORWEGIAN KRONER,"2,739.71","2,656.45",2019-01-23,105
13,,SEK,SWEDISH KRONA,"2,603.38","2,539.45",2019-01-23,105
14,"16,840.35",SGD,SINGAPORE DOLLAR,"17,159.46","16,964.13",2019-01-23,105
15,696.30,THB,THAI BAHT,751.18,711.30,2019-01-23,105
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,105
0,,ATS,SCHILING AUSTRIA,969.13,955.69,2019-01-23,64
1,"16,339.32",AUD,AUST.DOLLAR,"16,617.48","16,437.95",2019-01-23,64
2,"17,142.93",CAD,CANADIAN DOLLAR,"17,487.54","17,298.62",2019-01-23,64
3,"22,956.90",CHF,SWISS FRANCE,"23,418.01","23,118.73",2019-01-23,64
4,,DKK,DANISH KRONE,"3,586.36","3,477.36",2019-01-23,64
5,"26,166.65",EUR,EURO,"26,900.99","26,245.39",2019-01-23,64
6,"1,990.77",FRF,FRENCH FRANC,"2,033.00","2,004.80",2019-01-23,64
7,"29,706.14",GBP,BRITISH POUND,"30,181.84","29,915.55",2019-01-23,64
8,"2,914.22",HKD,HONGKONG DOLLAR,"2,978.71","2,934.76",2019-01-23,64
9,,INR,INDIAN RUPEE,337.79,325.04,2019-01-23,64
10,204.88,JPY,JAPANESE YEN,212.95,206.95,2019-01-23,64
11,19.20,KRW,SOUTH KOREAN WON,20.84,20.21,2019-01-23,64
12,,KWD,KUWAITI DINAR,"79,457.59","76,457.59",2019-01-23,64
13,,MYR,MALAYSIAN RINGGIT,"5,653.78","5,581.52",2019-01-23,64
14,,NOK,NORWEGIAN KRONER,"2,739.71","2,656.45",2019-01-23,64
15,,SEK,SWEDISH KRONA,"2,603.38","2,539.45",2019-01-23,64
16,"16,850.35",SGD,SINGAPORE DOLLAR,"17,154.46","16,969.13",2019-01-23,64
17,716.30,THB,THAI BAHT,746.18,716.30,2019-01-23,64
18,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,64
0,"16,239.32",AUD,AUST.DOLLAR,"16,637.48","16,337.95",2019-01-23,89
1,"17,042.93",CAD,CANADIAN DOLLAR,"17,507.54","17,198.62",2019-01-23,89
2,"22,856.90",CHF,SWISS FRANCE,"23,438.01","23,018.73",2019-01-23,89
3,,DKK,DANISH KRONE,"3,586.36","3,427.36",2019-01-23,89
4,"26,066.65",EUR,EURO,"26,920.99","26,145.39",2019-01-23,89
5,"29,606.14",GBP,BRITISH POUND,"30,201.84","29,815.55",2019-01-23,89
6,"2,894.22",HKD,HONGKONG DOLLAR,"2,983.71","2,914.76",2019-01-23,89
7,,INR,INDIAN RUPEE,337.79,325.04,2019-01-23,89
8,199.88,JPY,JAPANESE YEN,217.95,201.95,2019-01-23,89
9,19.20,KRW,SOUTH KOREAN WON,20.84,20.21,2019-01-23,89
10,,KWD,KUWAITI DINAR,"79,457.59","76,457.59",2019-01-23,89
11,,MYR,MALAYSIAN RINGGIT,"5,653.78","5,581.52",2019-01-23,89
12,,NOK,NORWEGIAN KRONER,"2,739.71","2,606.45",2019-01-23,89
13,,SEK,SWEDISH KRONA,"2,603.38","2,489.45",2019-01-23,89
14,"16,750.35",SGD,SINGAPORE DOLLAR,"17,174.46","16,869.13",2019-01-23,89
15,676.30,THB,THAI BAHT,756.18,676.30,2019-01-23,89
16,"23,145.00",USD,US DOLLAR,"23,245.00","23,145.00",2019-01-23,89
0,"16,339.32",AUD,AUST.DOLLAR,"16,617.48","16,437.95",2019-01-23,35
1,"17,142.93",CAD,CANADIAN DOLLAR,"17,487.54","17,298.62",2019-01-23,35
2,"22,956.90",CHF,SWISS FRANCE,"23,418.01","23,118.73",2019-01-23,35
3,,DKK,DANISH KRONE,"3,586.36","3,477.36",2019-01-23,35
4,"26,166.65",EUR,EURO,"26,900.99","26,245.39",2019-01-23,35
5,"29,706.14",GBP,BRITISH POUND,"30,181.84","29,915.55",2019-01-23,35
6,"2,914.22",HKD,HONGKONG DOLLAR,"2,978.71","2,934.76",2019-01-23,35
7,,INR,INDIAN RUPEE,337.79,325.04,2019-01-23,35
8,204.88,JPY,JAPANESE YEN,212.95,206.95,2019-01-23,35
9,19.20,KRW,SOUTH KOREAN WON,20.84,20.21,2019-01-23,35
10,,KWD,KUWAITI DINAR,"79,457.59","76,457.59",2019-01-23,35
11,,MYR,MALAYSIAN RINGGIT,"5,653.78","5,581.52",2019-01-23,35
12,,NOK,NORWEGIAN KRONER,"2,739.71","2,656.45",2019-01-23,35
13,,SAR,SAUDI RIAL,"5,802.97","5,459.76",2019-01-23,35
14,,SEK,SWEDISH KRONA,"2,603.38","2,539.45",2019-01-23,35
15,"16,850.35",SGD,SINGAPORE DOLLAR,"17,154.46","16,969.13",2019-01-23,35
16,716.30,THB,THAI BAHT,746.18,716.30,2019-01-23,35
17,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,35
0,"16,339.32",AUD,AUST.DOLLAR,"16,644.00","16,437.95",2019-01-23,50
1,"17,142.93",CAD,CANADIAN DOLLAR,"17,493.00","17,244.00",2019-01-23,50
2,"22,946.00",CHF,SWISS FRANCE,"23,418.01","23,061.00",2019-01-23,50
3,,DKK,DANISH KRONE,"3,587.00","3,461.00",2019-01-23,50
4,"26,083.00",EUR,EURO,"26,900.99","26,214.00",2019-01-23,50
5,"2,038.00",FRF,FRENCH FRANC,"2,058.00","2,044.00",2019-01-23,50
6,"29,706.14",GBP,BRITISH POUND,"30,212.00","29,870.00",2019-01-23,50
7,"2,914.22",HKD,HONGKONG DOLLAR,"2,982.00","2,933.00",2019-01-23,50
8,,INR,INDIAN RUPEE,329.00,313.00,2019-01-23,50
9,204.88,JPY,JAPANESE YEN,213.90,206.95,2019-01-23,50
10,18.34,KRW,SOUTH KOREAN WON,21.42,19.51,2019-01-23,50
11,,NOK,NORWEGIAN KRONER,"2,740.00","2,644.00",2019-01-23,50
12,,SEK,SWEDISH KRONA,"2,609.00","2,520.00",2019-01-23,50
13,"16,850.35",SGD,SINGAPORE DOLLAR,"17,179.00","16,959.00",2019-01-23,50
14,650.00,THB,THAI BAHT,746.18,714.00,2019-01-23,50
15,"23,125.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,50
0,"16,339.32",AUD,AUST.DOLLAR,"16,617.48","16,437.95",2019-01-23,24
1,"17,142.93",CAD,CANADIAN DOLLAR,"17,487.54","17,298.62",2019-01-23,24
2,"22,956.90",CHF,SWISS FRANCE,"23,418.01","23,118.73",2019-01-23,24
3,,DKK,DANISH KRONE,"3,586.36","3,477.36",2019-01-23,24
4,"26,166.65",EUR,EURO,"26,900.99","26,245.39",2019-01-23,24
5,"29,706.14",GBP,BRITISH POUND,"30,181.84","29,915.55",2019-01-23,24
6,"2,914.22",HKD,HONGKONG DOLLAR,"2,978.71","2,934.76",2019-01-23,24
7,,INR,INDIAN RUPEE,347.87,333.93,2019-01-23,24
8,204.88,JPY,JAPANESE YEN,212.95,206.95,2019-01-23,24
9,19.20,KRW,SOUTH KOREAN WON,20.84,20.21,2019-01-23,24
10,,KWD,KUWAITI DINAR,"74,808.95","72,532.76",2019-01-23,24
11,,MYR,MALAYSIAN RINGGIT,"5,231.29","5,164.26",2019-01-23,24
12,,NOK,NORWEGIAN KRONER,"2,739.71","2,656.45",2019-01-23,24
13,,SEK,SWEDISH KRONA,"2,603.38","2,539.45",2019-01-23,24
14,"16,850.35",SGD,SINGAPORE DOLLAR,"17,154.46","16,969.13",2019-01-23,24
15,716.30,THB,THAI BAHT,746.18,716.30,2019-01-23,24
16,"23,125.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,24
0,,ATS,SCHILING AUSTRIA,988.00,942.00,2019-01-23,48
1,"16,329.32",AUD,AUST.DOLLAR,"16,627.48","16,427.95",2019-01-23,48
2,,BEF,BELGIAN FRANCE,337.00,321.00,2019-01-23,48
3,"17,132.93",CAD,CANADIAN DOLLAR,"17,497.54","17,288.62",2019-01-23,48
4,"22,946.90",CHF,SWISS FRANCE,"23,428.01","23,108.73",2019-01-23,48
5,"6,560.35",DEM,DEUTSCHE MARK,"6,699.56","6,606.60",2019-01-23,48
6,,DKK,DANISH KRONE,"3,589.36","3,474.36",2019-01-23,48
7,"26,156.65",EUR,EURO,"26,910.99","26,235.39",2019-01-23,48
8,,FIM,FINNISH MARK,"2,287.00","2,200.00",2019-01-23,48
9,"1,956.06",FRF,FRENCH FRANC,"1,997.57","1,969.85",2019-01-23,48
10,"29,706.14",GBP,BRITISH POUND,"30,191.84","29,905.55",2019-01-23,48
11,"2,911.22",HKD,HONGKONG DOLLAR,"2,981.71","2,931.76",2019-01-23,48
12,,INR,INDIAN RUPEE,361.89,344.29,2019-01-23,48
13,,ITL,ITALIAN LIRA,7.02,6.69,2019-01-23,48
14,203.88,JPY,JAPANESE YEN,213.95,205.95,2019-01-23,48
15,18.90,KRW,SOUTH KOREAN WON,21.14,19.91,2019-01-23,48
16,,KWD,KUWAITI DINAR,"62,850.73","60,929.17",2019-01-23,48
17,,MYR,MALAYSIAN RINGGIT,"5,036.17","4,901.77",2019-01-23,48
18,,NLG,DUTCH GUILDE,"6,171.00","5,937.00",2019-01-23,48
19,,NOK,NORWEGIAN KRONER,"2,742.71","2,653.45",2019-01-23,48
20,,SEK,SWEDISH KRONA,"2,606.38","2,536.45",2019-01-23,48
21,"16,842.35",SGD,SINGAPORE DOLLAR,"17,162.46","16,961.13",2019-01-23,48
22,711.79,THB,THAI BAHT,751.63,712.79,2019-01-23,48
23,"23,135.00",USD,US DOLLAR,"23,245.00","23,145.00",2019-01-23,48
0,"16,199.32",AUD,AUST.DOLLAR,"16,624.48","16,387.95",2019-01-23,5
1,"17,002.93",CAD,CANADIAN DOLLAR,"17,494.54","17,248.62",2019-01-23,5
2,"22,816.90",CHF,SWISS FRANCE,"23,425.01","23,068.73",2019-01-23,5
3,,DKK,DANISH KRONE,"3,590.36","3,442.36",2019-01-23,5
4,"26,106.65",EUR,EURO,"26,907.99","26,185.39",2019-01-23,5
5,"29,556.14",GBP,BRITISH POUND,"30,188.84","29,855.55",2019-01-23,5
6,"2,879.22",HKD,HONGKONG DOLLAR,"2,982.71","2,899.76",2019-01-23,5
7,203.88,JPY,JAPANESE YEN,213.95,205.95,2019-01-23,5
8,19.20,KRW,SOUTH KOREAN WON,21.84,19.21,2019-01-23,5
9,,KWD,KUWAITI DINAR,"56,002.94","54,880.26",2019-01-23,5
10,,NOK,NORWEGIAN KRONER,"2,743.71","2,621.45",2019-01-23,5
11,,SEK,SWEDISH KRONA,"2,607.38","2,504.45",2019-01-23,5
12,"16,710.35",SGD,SINGAPORE DOLLAR,"17,161.46","16,919.13",2019-01-23,5
13,706.30,THB,THAI BAHT,749.18,706.30,2019-01-23,5
14,"23,145.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,5
0,"16,319.00",AUD,AUST.DOLLAR,"16,654.00","16,422.95",2019-01-23,28
1,"17,093.00",CAD,CANADIAN DOLLAR,"17,513.00","17,214.00",2019-01-23,28
2,"22,916.00",CHF,SWISS FRANCE,"23,428.01","23,041.00",2019-01-23,28
3,,DEM,DEUTSCHE MARK,,"30,174.55",2019-01-23,28
4,,DKK,DANISH KRONE,"3,597.00","3,451.00",2019-01-23,28
5,"26,073.00",EUR,EURO,"26,900.99","26,214.00",2019-01-23,28
6,,FRF,FRENCH FRANC,,"101,201.05",2019-01-23,28
7,"29,686.00",GBP,BRITISH POUND,"30,222.00","29,860.00",2019-01-23,28
8,"2,899.00",HKD,HONGKONG DOLLAR,"2,987.00","2,923.00",2019-01-23,28
9,204.00,JPY,JAPANESE YEN,213.90,206.95,2019-01-23,28
10,,KRW,SOUTH KOREAN WON,21.42,19.51,2019-01-23,28
11,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-23,28
12,,NOK,NORWEGIAN KRONER,"2,740.00","2,634.00",2019-01-23,28
13,,SEK,SWEDISH KRONA,"2,619.00","2,510.00",2019-01-23,28
14,"16,830.00",SGD,SINGAPORE DOLLAR,"17,189.00","16,944.00",2019-01-23,28
15,645.00,THB,THAI BAHT,749.18,711.00,2019-01-23,28
16,"23,155.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,28
0,"16,324.32",AUD,AUST.DOLLAR,"16,644.00","16,437.95",2019-01-23,104
1,"17,127.93",CAD,CANADIAN DOLLAR,"17,493.00","17,244.00",2019-01-23,104
2,"22,926.00",CHF,SWISS FRANCE,"23,418.01","23,061.00",2019-01-23,104
3,,DKK,DANISH KRONE,"3,587.00","3,461.00",2019-01-23,104
4,"26,083.00",EUR,EURO,"26,900.99","26,214.00",2019-01-23,104
5,,FRF,FRENCH FRANC,,"101,201.05",2019-01-23,104
6,"29,686.14",GBP,BRITISH POUND,"30,212.00","29,870.00",2019-01-23,104
7,"2,914.22",HKD,HONGKONG DOLLAR,"2,982.00","2,933.00",2019-01-23,104
8,204.88,JPY,JAPANESE YEN,213.90,206.95,2019-01-23,104
9,,NLG,DUTCH GUILDE,,"33,998.84",2019-01-23,104
10,,NOK,NORWEGIAN KRONER,"2,740.00","2,644.00",2019-01-23,104
11,,SEK,SWEDISH KRONA,"2,609.00","2,520.00",2019-01-23,104
12,"16,850.35",SGD,SINGAPORE DOLLAR,"17,179.00","16,959.00",2019-01-23,104
13,650.00,THB,THAI BAHT,746.18,714.00,2019-01-23,104
14,"23,135.00",USD,US DOLLAR,"23,245.00","23,155.00",2019-01-23,104
