"Diện tích sàn xây dựng nhà ở hoàn thành trong năm phân theo loại nhà chia theo Loại nhà và Năm"

" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"TỔNG SỐ";33370;51135;57911;68210;85885;84366;81313;86621;89843;93422;102488
"Nhà ở chung cư";1592;2359;2058;3409;4559;4219;1844;3361;2326;2324;2982
"Dưới 4 tầng";..;..;..;..;1404;..;..;265;533;312;169
"Từ 4-8 tầng";..;..;..;..;858;..;..;601;438;175;319
"Từ 9-25 tầng";..;..;..;..;1438;..;..;2488;1119;991;1961
"Từ 26 tầng trở lên";..;..;..;..;859;..;..;7;236;846;533
"Nhà ở riêng lẻ";31778;48776;55853;64801;81326;80147;79469;83260;87517;91098;99506
"Nhà ở riêng lẻ dưới 4 tầng";..;..;..;..;78419;..;..;81568;85552;88787;96378
"Nhà ở riêng lẻ từ 4 tầng trở lên";..;..;..;..;2257;..;..;1055;1586;1953;2295
"Nhà biệt thự";..;..;..;..;650;..;..;637;379;358;833

