"Số căn hộ và diện tích sàn nhà ở xã hội hoàn thành năm 2016 phân theo loại nhà và phân theo vùng by Vùng, Phân tổ and Loại nhà"

" ";"Số căn hộ/nhà ở (Căn hộ/Nhà ở)";" ";" ";"Diện tích sàn nhà ở (m2)";" ";" "
" ";"Tổng số";"Chung cư";"Nhà ở riêng lẻ";"Tổng số";"Chung cư";"Nhà ở riêng lẻ"
"Cả nước";13373;10688;2685;841031;672855;168176
"Đồng bằng sông Hồng";3389;3340;49;228879;226319;2560
"Trung du và miền núi phía Bắc";1193;48;1145;74197;3042;71155
"Bắc Trung Bộ và duyên hải miền Trung";3551;3375;176;213458;188858;24600
"Tây Nguyên";146;..;146;5460;..;5460
"Đông Nam Bộ";4066;3704;362;262648;248168;14480
"Đồng bằng sông Cửu Long";1028;221;807;56389;6468;49921

