"Vốn đầu tư thực hiện của khu vực kinh tế Nhà nước  theo giá hiện hành phân theo ngành kinh tế chia theo Ngành kinh tế và Năm"

" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"Tổng số";161635;197989;209031;287534;316285;341555;406514;441924;486804;519878;557633;594885
"Nông nghiệp, lâm nghiệp và thủy sản";11545;13355;15060;16858;18534;19127;21789;29654;30669;33168;40930;44021
"Khai khoáng";13624;15225;16290;19265;20590;21484;24309;26738;25314;22251;23309;24390
"Công nghiệp chế biến, chế tạo";13518;24096;12284;24751;30110;33404;48985;46846;35537;36391;41711;45330
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";23598;26059;26250;48169;47462;49583;55383;56811;65913;72522;86266;89828
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";6672;7282;7510;11156;12209;12808;12627;15468;20494;21055;22026;25580
"Xây dựng";6795;8975;9966;13301;16257;18273;23659;36151;31155;32492;33737;35693
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";2057;2444;3290;6245;7559;8641;13007;11402;6913;11177;9480;10708
"Vận tải, kho bãi";33431;36319;47062;52032;57216;59114;63463;71109;98919;114685;105281;110232
"Dịch vụ lưu trú và ăn uống";684;850;1065;3589;3859;4748;6423;6541;3408;4159;4461;5354
"Thông tin và truyền thông";9003;11028;11443;16016;17712;18546;21383;17899;14847;13413;13941;14277
"Hoạt động tài chính, ngân hàng và bảo hiểm";718;1546;2061;4244;4713;5636;7846;6806;8860;9878;10037;10827
"Hoạt động kinh doanh bất động sản";1615;3089;3303;6101;6863;8368;11605;13656;7789;11749;12825;13861
"Hoạt động chuyên môn, khoa học và công nghệ";2126;3781;4346;5610;6009;6934;8415;7380;17135;15752;16729;17847
"Hoạt động hành chính và dịch vụ hỗ trợ";2635;3027;3307;4687;5472;5738;5650;5126;2531;2339;2342;2082
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";10767;14606;17940;21406;25157;28844;30606;31731;46387;45777;48051;52227
"Giáo dục và đào tạo";8789;10503;10769;10202;12493;13833;21708;24930;34563;35092;39090;41047
"Y tế và hoạt động trợ giúp xã hội";5448;6470;6989;8238;8540;10008;11566;15114;19521;20743;29276;32124
"Nghệ thuật, vui chơi và giải trí";3412;5296;5440;7240;7654;8710;8374;7734;11781;10450;12101;13088
"Hoạt động khác";5198;4038;4656;8424;7876;7756;9716;10828;5068;6785;6040;6369

