"Vốn đầu tư phát triển toàn xã hội thực hiện theo giá hiện hành  phân theo ngành kinh tế by Ngành kinh tế and Năm"

" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"Tổng số";343135;532093;616735;708826;830278;924495;1010114;1094542;1220704;1366478;1487638;1668601
"Nông nghiệp, lâm nghiệp và thủy sản";25715;33907;39697;44309;51062;55284;52930;63658;61524;76523;87473;100116
"Khai khoáng";26780;37794;50214;59754;62520;67950;70405;68299;64698;53976;50580;52561
"Công nghiệp chế biến, chế tạo";65892;104689;104801;120146;161904;186008;222528;262846;322251;404477;423382;465540
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";34112;49339;58033;67338;70491;75347;79294;66175;76906;88821;94465;110128
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";8932;13845;16041;18465;21504;23297;23940;21672;23682;22137;26182;30869
"Xây dựng";12292;19725;23370;26227;37362;43914;47273;59975;95216;78572;90448;103453
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";18257;23036;28216;31188;40684;49461;64849;80887;74464;88821;99969;114299
"Vận tải, kho bãi";40159;69946;76439;85343;95814;104653;106365;117116;164798;161244;157392;171032
"Dịch vụ lưu trú và ăn uống";6628;10899;12305;14923;17436;20802;27576;28677;21363;28286;33769;41214
"Thông tin và truyền thông";12490;19262;22264;25872;30305;31617;32627;31303;24048;19131;18595;20023
"Hoạt động tài chính, ngân hàng và bảo hiểm";2205;6324;7587;9888;15692;18952;22425;25503;17945;23503;20083;21692
"Hoạt động kinh doanh bất động sản";4426;23444;32198;33315;39023;45763;52728;76837;57008;71057;92977;106790
"Hoạt động chuyên môn, khoa học và công nghệ";2863;5402;6327;8010;9299;11556;14041;18264;24903;23230;25290;26698
"Hoạt động hành chính và dịch vụ hỗ trợ";11495;17921;20741;23817;27897;29121;28788;21212;12818;10932;10711;13349
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";10767;14606;17940;21406;25157;28844;30606;31731;46387;45777;48051;52227
"Giáo dục và đào tạo";10829;15637;17837;20202;23580;27273;31415;27145;41871;43727;50580;55064
"Y tế và hoạt động trợ giúp xã hội";5699;7399;8795;10278;12039;15255;18990;24505;27222;30063;34216;40046
"Nghệ thuật, vui chơi và giải trí";4203;6188;8617;10632;12537;14607;17071;15871;15137;17081;21125;26364
"Hoạt động khác";39391;52730;65313;77713;75972;74791;66263;52866;48463;79120;102350;117136

