"Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc trong nền kinh tế đã qua đào tạo phân theo địa phương (*) by Địa phương and Năm"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"Vĩnh Long";6.6;8.4;7.8;9.1;10.9;9.9;12.0;13.7;14.4;13.3
"Đồng Tháp";4.5;6.4;6.0;7.4;7.0;9.1;8.7;10.8;11.6;14.8
"An Giang";8.1;7.2;7.2;8.0;9.0;10.6;9.8;8.5;10.1;11.6
"Kiên Giang";10.7;7.9;9.4;9.9;9.0;9.7;9.3;10.5;12.3;10.6
"Cần Thơ";11.0;14.3;11.8;13.0;14.7;15.2;16.9;18.5;19.9;21.0
"Hậu Giang";5.1;6.5;5.7;8.2;8.6;8.6;9.7;11.4;9.8;8.8
"Sóc Trăng";5.0;6.1;5.7;7.7;8.9;13.5;10.4;9.9;9.8;9.8
"Bạc Liêu";9.4;8.2;6.7;6.5;8.6;9.7;9.6;8.6;9.9;8.2
"Cà Mau";5.3;6.6;5.8;5.5;5.1;7.5;7.1;9.7;10.2;9.6

