"Tỷ lệ tăng dân số phân theo địa phương chia theo Tỉnh/Thành phố và Năm"

" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"CẢ NƯỚC";1.17;1.09;1.07;1.06;1.07;1.05;1.08;1.07;1.08;1.08;1.07;1.06
"Đồng bằng sông Hồng";0.90;0.63;1.28;0.74;1.19;1.08;1.04;1.02;1.09;1.00;0.99;1.06
"Hà Nội";2.02;1.37;..;1.41;2.50;1.93;1.54;1.63;1.70;1.51;1.50;1.50
"Hà Tây";2.03;1.14;..;..;..;..;..;..;..;..;..;..
"Vĩnh Phúc";1.03;0.69;..;0.66;0.72;0.38;1.09;0.68;1.22;1.21;1.09;1.26
"Bắc Ninh";0.80;0.95;0.87;0.82;1.73;1.84;2.10;2.06;2.08;2.07;2.07;3.11
"Quảng Ninh";1.33;1.19;1.12;0.97;0.97;0.93;0.83;0.82;1.01;0.99;1.30;1.35
"Hải Dương";0.30;0.30;0.36;0.35;0.56;0.78;0.69;0.58;0.65;0.64;0.64;0.64
"Hải Phòng";0.89;0.98;0.98;0.89;0.94;1.19;1.29;1.11;1.08;0.89;0.89;0.86
"Hưng Yên";0.60;0.43;0.44;0.21;0.33;0.54;0.50;0.66;0.56;0.52;0.52;0.52
"Thái Bình";-0.04;-0.19;-0.07;0.02;0.09;0.07;0.08;0.04;0.03;0.02;0.04;0.09
"Hà Nam";-0.07;-0.21;-0.18;-0.10;0.02;0.07;0.68;0.48;0.43;0.42;0.13;0.25
"Nam Định";-0.45;-0.53;-0.19;0.12;0.09;0.19;0.09;0.26;0.31;0.27;0.11;0.04
"Ninh Bình";0.14;0.16;0.23;0.16;0.24;0.66;1.26;0.87;0.93;0.92;0.92;0.92
"Trung du và miền núi phía Bắc";1.10;0.92;-0.06;0.69;1.00;1.04;1.03;1.04;1.14;1.47;1.40;1.20
"Hà Giang";1.90;1.66;1.60;1.24;1.20;1.75;2.01;1.86;1.68;1.64;2.32;1.60
"Cao Bằng";0.43;0.35;0.38;0.13;0.37;0.18;0.23;0.53;0.43;0.86;1.05;0.99
"Bắc Kạn";0.65;0.62;0.63;0.35;0.96;0.99;0.86;0.70;0.69;1.89;1.88;1.32
"Tuyên Quang";0.66;0.52;0.56;0.24;0.57;0.76;0.80;0.87;0.88;0.87;0.86;0.87
"Lào Cai";1.29;1.37;1.38;1.53;1.78;1.63;1.50;1.45;1.41;1.41;1.45;1.48
"Yên Bái";0.85;0.86;0.81;0.56;1.29;0.98;0.93;1.16;1.16;1.22;0.91;0.87
"Thái Nguyên";0.87;0.59;0.65;0.45;0.53;0.72;0.85;0.60;1.49;3.59;2.34;0.91
"Lạng Sơn";0.49;0.27;0.33;0.35;0.42;0.61;0.60;0.60;0.53;0.92;1.06;1.27
"Bắc Giang";0.45;0.38;0.37;0.15;0.83;0.76;0.70;0.95;1.03;1.01;1.02;1.01
"Phú Thọ";0.43;0.31;0.45;0.39;0.46;0.51;0.86;0.78;0.67;0.76;0.81;0.81
"Điện Biên";3.59;2.94;2.86;2.39;2.12;1.92;1.74;1.69;1.82;1.81;1.75;1.71
"Lai Châu";1.53;1.02;0.97;0.94;2.54;2.27;2.03;2.10;2.38;2.20;2.48;2.51
"Sơn La";2.00;1.67;1.57;1.12;1.83;1.79;1.41;1.42;1.38;1.80;1.76;1.71
"Hòa Bình";2.01;1.65;..;1.08;0.67;0.93;0.77;0.64;0.86;0.85;0.86;0.90
"Bắc Trung Bộ và duyên hải miền Trung";0.38;0.33;0.37;0.31;0.63;0.68;0.72;0.75;0.70;0.76;0.66;0.63
"Thanh Hóa";-0.18;-0.31;-0.25;-0.13;0.52;0.47;0.59;0.57;0.53;0.46;0.46;0.46
"Nghệ An";0.19;0.18;0.24;0.08;0.67;0.75;0.92;0.94;0.87;1.40;0.83;0.83
"Hà Tĩnh";-0.35;-0.37;-0.40;-0.50;0.40;0.42;0.44;0.48;0.49;0.48;0.43;0.43
"Quảng Bình";0.64;0.48;0.60;0.18;0.42;0.56;0.57;0.59;0.56;0.55;0.55;0.55
"Quảng Trị";0.29;0.38;0.44;0.31;0.52;0.51;0.57;0.80;0.55;0.58;0.59;0.60
"Thừa Thiên - Huế";0.40;0.38;0.36;0.25;0.30;1.12;0.98;0.79;0.80;0.88;0.72;0.39
"Đà Nẵng";2.66;2.61;2.51;2.96;3.15;2.53;2.14;2.12;2.11;1.90;1.80;1.80
"Quảng Nam";0.31;0.22;0.27;0.37;0.71;0.66;0.71;0.71;0.59;0.54;0.47;0.47
"Quảng Ngãi";0.30;0.18;0.18;0.02;0.31;0.35;0.37;0.52;0.42;0.41;0.63;0.59
"Bình Định";0.16;0.15;0.23;0.12;0.31;0.42;0.28;0.46;0.34;0.38;0.29;0.29
"Phú Yên";0.75;0.71;0.75;0.66;0.43;0.45;0.70;0.67;0.61;0.68;0.68;0.55
"Khánh Hòa";0.99;1.09;1.04;0.77;0.53;0.61;0.75;0.70;0.71;0.70;0.70;0.69
"Ninh Thuận";0.81;0.80;0.88;0.90;0.66;0.81;0.91;0.94;0.94;0.93;0.92;0.93
"Bình Thuận";0.99;0.86;0.88;0.64;0.63;0.66;0.60;0.66;0.66;0.63;0.63;0.63
"Tây Nguyên";2.23;1.79;1.79;1.83;1.47;1.49;1.54;1.54;1.47;1.49;1.53;1.49
"Kon Tum";3.27;2.91;3.03;2.69;2.39;2.15;2.46;2.28;2.32;2.41;2.40;2.41
"Gia Lai";2.40;2.08;2.11;2.38;1.61;1.55;1.42;1.39;1.37;1.42;1.42;1.42
"Đắk Lắk";1.40;1.12;1.09;1.20;0.98;1.02;1.18;1.19;1.13;1.12;1.12;1.18
"Đắk Nông";4.99;3.73;3.72;3.51;2.61;3.13;3.30;3.42;2.91;2.90;3.51;2.82
"Lâm Đồng";1.91;1.34;1.28;1.19;1.25;1.21;1.09;1.09;1.11;1.10;1.01;1.01
"Đông Nam Bộ";3.25;3.46;3.14;3.40;2.34;2.20;2.24;2.17;2.14;1.90;1.98;2.01
"Bình Phước";2.86;2.35;2.35;1.98;1.24;1.29;1.29;1.30;1.29;1.27;1.28;1.30
"Tây Ninh";0.87;0.63;0.71;0.63;0.66;0.72;0.71;0.66;0.67;0.66;0.66;0.66
"Bình Dương";6.97;8.58;7.32;7.83;5.18;4.30;4.33;4.13;3.94;3.04;3.39;3.76
"Đồng Nai";1.95;2.49;2.53;2.75;2.87;2.67;2.56;2.40;2.38;2.08;2.21;2.21
"Bà Rịa - Vũng Tàu";2.16;1.51;1.39;1.52;1.28;1.10;1.03;1.31;1.24;1.84;1.04;1.04
"TP. Hồ Chí Minh";3.71;3.75;3.27;3.61;2.09;2.07;2.16;2.08;2.07;1.83;1.96;1.90
"Đồng bằng sông Cửu Long";0.63;0.56;0.51;0.41;0.30;0.32;0.42;0.40;0.39;0.41;0.43;0.41
"Long An";0.81;0.91;0.73;0.56;0.46;0.49;0.72;0.65;0.51;0.45;0.43;0.43
"Tiền Giang";0.45;0.38;0.39;0.29;0.31;0.27;0.59;0.65;0.75;0.70;0.70;0.67
"Bến Tre";-0.34;-0.36;-0.41;-0.28;0.04;0.06;0.12;0.13;0.13;0.12;0.12;0.12
"Trà Vinh";0.39;0.35;0.36;0.24;0.48;0.50;0.52;0.54;0.53;0.52;0.57;0.48
"Vĩnh Long";0.14;0.13;0.12;0.10;0.14;0.25;0.53;0.32;0.36;0.34;0.34;0.15
"Đồng Tháp";0.79;0.47;0.48;0.25;0.18;0.12;0.20;0.20;0.17;0.17;0.18;0.18
"An Giang";0.51;0.40;0.39;0.24;0.03;0.03;0.10;0.10;0.11;0.12;0.07;0.09
"Kiên Giang";1.30;1.04;1.05;0.96;0.60;0.72;0.76;0.61;0.64;0.89;0.89;0.89
"Cần Thơ";0.95;0.99;0.76;0.65;0.78;0.84;0.85;0.83;0.80;0.79;1.17;0.81
"Hậu Giang";0.21;0.25;0.22;0.22;0.24;0.25;0.28;0.31;0.28;0.27;0.26;0.27
"Sóc Trăng";0.70;0.84;0.69;0.63;0.19;0.21;0.24;0.24;0.24;0.23;0.14;0.14
"Bạc Liêu";1.44;1.45;1.41;1.10;0.49;0.46;0.50;0.50;0.48;0.47;0.47;0.91
"Cà Mau";0.72;0.54;0.55;0.45;0.11;0.13;0.17;0.18;0.18;0.21;0.30;0.30

"Từ năm 2008 tới nay, số liệu thành phố Hà Nội bao gồm cả tỉnh "
"Hà Tây."

