"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu"

" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016 (*)";" ";" "
" ";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)"
"Nghệ An";16493.7;2955.9;179.2;16490.9;2983.3;180.9;16492.7;3011.3;182.6;16490.0;3037.4;184.0;16490.0;3063.9;186.0;16481.7;3105.5;188.0
"Hà Tĩnh";5997.2;1237.8;206.4;5997.8;1243.2;207.3;5997.3;1249.1;208.3;5997.8;1255.3;209.0;5997.8;1261.3;210.0;5990.6;1266.7;211.0
"Quảng Bình";8065.3;853.4;105.8;8065.3;858.3;106.4;8065.3;863.4;107.1;8065.3;868.2;108.0;8065.3;872.9;108.0;8000.1;877.7;110.0
"Quảng Trị";4739.8;604.7;127.6;4739.8;608.2;128.3;4739.8;613.0;129.3;4739.8;616.4;130.0;4739.8;619.9;131.0;4621.8;623.5;135.0
"Thừa Thiên Huế";5033.2;1103.1;219.2;5033.2;1113.9;221.3;5033.2;1122.7;223.1;5033.2;1131.8;225.0;5033.2;1140.7;227.0;4902.4;1149.8;235.0
"Đà Nẵng";1285.4;946.0;736.0;1285.4;966.3;751.8;1285.4;986.8;767.7;1285.4;1007.7;784.0;1285.4;1028.8;800.0;1284.7;1046.2;814.0
"Quảng Nam";10438.4;1442.7;138.2;10438.4;1452.9;139.2;10438.4;1463.2;140.2;10438.4;1471.8;141.0;10438.4;1480.3;142.0;10575.0;1487.7;141.0
"Quảng Ngãi";5153.0;1225.2;237.8;5153.0;1229.8;238.7;5152.0;1236.3;240.0;5152.7;1241.4;241.0;5152.7;1246.4;242.0;5152.3;1251.5;243.0
"Bình Định";6050.6;1498.2;247.6;6050.6;1502.4;248.3;6050.6;1509.3;249.4;6050.6;1514.5;250.0;6050.6;1519.7;251.0;6066.1;1524.6;251.0
"Phú Yên";5060.6;870.0;171.9;5060.6;876.1;173.1;5060.5;882.0;174.3;5060.6;887.4;175.0;5060.6;893.4;177.0;5023.5;899.4;179.0
"Khánh Hoà";5217.7;1171.4;224.5;5217.7;1180.1;226.2;5217.7;1188.4;227.8;5217.7;1196.9;229.0;5217.7;1205.3;231.0;5137.7;1213.8;236.0
"Ninh Thuận";3358.3;574.1;170.9;3358.3;579.4;172.5;3358.3;584.9;174.2;3358.3;590.4;176.0;3358.3;595.9;177.0;3355.2;601.4;179.0
"Bình Thuận";7812.9;1184.5;151.6;7812.8;1191.6;152.5;7812.8;1199.5;153.5;7813.1;1207.4;155.0;7813.1;1215.2;156.0;7944.0;1222.7;154.0
"Tây Nguyên";54641.0;5282.2;96.7;54641.1;5363.3;98.2;54641.1;5445.8;99.7;54641.0;5525.8;101.0;54641.0;5607.9;103.0;54508.0;5693.2;104.0
"Kon Tum";9689.6;451.6;46.6;9689.6;462.7;47.8;9689.6;473.3;48.8;9689.6;484.2;50.0;9689.6;495.9;51.0;9674.2;507.8;52.0
"Gia Lai";15536.9;1321.7;85.1;15536.9;1340.5;86.3;15536.9;1359.1;87.5;15536.9;1377.8;89.0;15536.9;1397.4;90.0;15510.8;1417.3;91.0
"Đắk Lắk";13125.4;1770.5;134.9;13125.4;1791.4;136.5;13125.4;1812.8;138.1;13125.4;1833.3;140.0;13125.4;1853.7;141.0;13030.5;1874.5;144.0
"Đắk Nông";6515.6;519.6;79.7;6515.6;536.7;82.4;6515.6;555.1;85.2;6515.6;571.3;88.0;6515.6;587.8;90.0;6509.3;605.4;93.0
"Lâm Đồng";9773.5;1218.7;124.7;9773.5;1232.0;126.1;9773.6;1245.4;127.4;9773.5;1259.3;129.0;9773.5;1273.1;130.0;9783.2;1288.2;132.0
"Đông Nam Bộ";23597.9;14799.6;627.2;23598.0;15130.6;641.2;23590.8;15459.3;655.3;23590.7;15790.4;669.0;23590.7;16127.8;684.0;23552.6;16424.3;697.0
"Bình Phước";6871.5;897.3;130.6;6871.5;908.9;132.3;6871.5;920.7;134.0;6871.5;932.5;136.0;6871.5;944.4;137.0;6876.6;956.4;139.0
"Tây Ninh";4039.7;1082.0;267.8;4039.7;1089.7;269.7;4032.6;1096.9;272.0;4032.6;1104.2;274.0;4032.6;1111.5;276.0;4041.4;1118.8;277.0
"Bình Dương";2694.4;1659.1;615.8;2694.4;1731.0;642.4;2694.4;1802.5;669.0;2694.4;1873.6;695.0;2694.4;1947.2;723.0;2694.7;1995.8;741.0
"Đồng Nai";5907.2;2640.2;446.9;5907.2;2707.8;458.4;5907.2;2772.7;469.4;5907.2;2838.6;481.0;5907.2;2905.8;492.0;5863.6;2963.8;505.0
"Bà Rịa - Vũng Tàu";1989.5;1022.5;513.9;1989.5;1033.0;519.2;1989.5;1046.5;526.0;1989.5;1059.5;533.0;1989.5;1072.6;539.0;1980.8;1092.0;551.0
"TP.Hồ Chí Minh";2095.6;7498.4;3578.2;2095.6;7660.3;3655.4;2095.6;7820.0;3731.6;2095.5;7981.9;3809.0;2095.5;8146.3;3888.0;2061.4;8297.5;4025.0
"Đồng bằng sông Cửu Long";40548.2;17306.8;426.8;40553.1;17379.6;428.6;40572.0;17448.7;430.1;40576.0;17517.6;432.0;40576.0;17590.4;434.0;40816.3;17660.7;433.0
"Long An";4492.4;1449.9;322.7;4492.4;1460.3;325.1;4491.9;1469.9;327.2;4495.0;1477.3;329.0;4495.0;1484.7;330.0;4494.8;1490.6;332.0
"Tiền Giang";2508.3;1682.6;670.8;2508.3;1692.5;674.8;2508.6;1703.4;679.0;2509.3;1716.1;684.0;2509.3;1728.7;689.0;2510.5;1740.2;693.0
"Bến Tre";2360.6;1257.4;532.7;2357.7;1258.9;534.0;2359.5;1260.6;534.3;2359.8;1262.2;535.0;2359.8;1263.7;536.0;2394.6;1265.2;528.0
"Trà Vinh";2341.2;1013.1;432.7;2341.2;1018.4;435.0;2341.2;1023.9;437.3;2341.2;1029.3;440.0;2341.2;1034.6;442.0;2358.2;1040.5;441.0
"Vĩnh Long";1496.8;1029.1;687.5;1504.9;1034.5;687.4;1520.2;1037.8;682.7;1520.2;1041.5;685.0;1520.2;1045.0;687.0;1525.6;1048.6;687.0
"Đồng Tháp";3377.0;1671.7;495.0;3377.0;1675.0;496.0;3378.8;1678.4;496.7;3378.8;1681.3;498.0;3378.8;1684.3;498.0;3384.0;1687.3;499.0
"An Giang";3536.7;2149.0;607.6;3536.7;2151.2;608.3;3536.7;2153.3;608.8;3536.7;2155.8;610.0;3536.7;2158.3;610.0;3536.7;2159.9;611.0
"Kiên Giang";6348.5;1710.9;269.5;6348.5;1723.8;271.5;6348.5;1734.3;273.2;6348.5;1745.5;275.0;6348.5;1761.0;277.0;6348.7;1776.7;280.0
"Cần Thơ";1409.0;1208.0;857.3;1409.0;1218.3;864.7;1409.0;1228.5;871.9;1408.9;1238.3;879.0;1408.9;1248.0;886.0;1439.2;1257.9;874.0
"Hậu Giang";1602.5;761.7;475.3;1602.5;763.8;476.6;1602.4;766.2;478.2;1602.4;768.4;480.0;1602.4;770.4;481.0;1621.8;772.5;476.0
"Sóc Trăng";3311.6;1298.4;392.1;3311.6;1301.5;393.0;3311.6;1304.7;394.0;3311.6;1307.7;395.0;3311.6;1310.7;396.0;3311.9;1312.5;396.0
"Bạc Liêu";2468.7;864.9;350.3;2468.7;869.3;352.1;2468.7;873.6;353.9;2468.7;877.9;356.0;2468.7;882.0;357.0;2669.1;886.2;332.0
"Cà Mau";5294.9;1210.0;228.5;5294.9;1212.1;228.9;5294.9;1214.2;229.3;5294.9;1216.4;230.0;5294.9;1218.9;230.0;5221.2;1222.6;234.0

"(*) Diện tích có đến 31/12/2015 theo Quyết định số 455/QĐ-BTNMT "
" ngày 21 tháng 3 năm 2017 của Bộ trưởng Bộ Tài nguyên  "
"và Môi trường."

