"Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm"

"Lạng Sơn";34.1;25.0;22.0;19.7;16.7;19.2;19.5;19.2;18.6;18.3;18.0
"Bắc Giang";27.3;19.0;18.0;17.2;16.7;15.7;16.0;15.8;15.3;15.3;15.0
"Phú Thọ";17.9;17.0;19.0;18.8;18.2;17.2;15.8;15.8;15.3;15.1;14.8
"Điện Biên";41.0;37.0;33.0;39.7;37.3;35.2;35.8;35.5;34.4;33.8;33.2
"Lai Châu";44.0;37.0;33.0;47.7;46.1;43.5;44.2;44.0;42.6;41.9;41.1
"Sơn La";33.0;31.0;28.0;27.5;25.6;24.1;24.5;24.0;23.2;22.9;22.4
"Hòa Bình";27.5;26.0;28.0;19.9;19.4;17.4;17.7;17.7;17.1;17.4;17.1
"Bắc Trung Bộ và duyên hải miền Trung";22.4;18.8;16.0;17.2;17.1;17.1;17.1;17.0;16.6;16.3;16.0
"Thanh Hóa";24.9;23.0;19.0;17.0;15.0;14.2;16.2;16.0;15.5;15.5;15.2
"Nghệ An";25.1;23.8;26.0;18.5;16.8;16.7;17.4;17.4;16.9;16.8;16.5
"Hà Tĩnh";20.4;18.1;18.0;18.2;17.5;18.0;18.1;18.0;17.4;17.1;16.8
"Quảng Bình";20.8;18.0;17.0;20.9;18.1;19.0;18.0;17.8;17.3;17.0;16.7
"Quảng Trị";37.5;35.5;35.0;38.0;36.0;35.4;33.8;33.5;32.4;31.9;31.3
"Thừa Thiên - Huế";19.8;14.8;15.0;23.0;19.3;18.9;21.0;21.0;20.3;20.0;19.6
"Đà Nẵng";9.0;10.0;11.0;11.0;10.1;9.9;9.5;9.3;9.0;8.8;8.7
"Quảng Nam";22.0;19.5;17.0;21.0;19.5;19.9;17.4;17.5;16.9;16.6;16.3
"Quảng Ngãi";20.8;19.7;16.0;20.0;18.0;19.9;18.9;18.8;18.2;17.9;17.5
"Bình Định";20.3;18.3;17.0;18.5;15.2;16.0;16.0;15.9;15.4;15.1;14.8
"Phú Yên";30.8;27.0;22.0;21.0;19.2;18.8;16.0;15.9;15.4;15.2;14.9
"Khánh Hòa";14.7;15.0;14.0;16.5;15.0;15.0;14.7;14.7;14.2;14.0;13.7
"Ninh Thuận";22.6;16.5;20.0;22.6;18.8;18.4;17.4;17.2;16.6;16.4;16.1
"Bình Thuận";18.7;14.0;14.0;15.0;14.0;13.7;13.4;13.2;12.7;12.5;12.3
"Tây Nguyên";28.8;27.0;23.0;27.3;26.8;24.3;26.4;26.1;25.9;24.8;24.0
"Kon Tum";62.6;50.0;48.0;38.2;38.1;40.7;40.0;40.0;38.7;38.1;37.4
"Gia Lai";44.4;32.0;28.0;25.8;25.7;27.0;30.8;30.6;28.9;26.3;25.8
"Đắk Lắk";27.0;24.0;19.0;22.1;22.0;22.0;24.6;24.7;24.2;24.0;23.6
"Đắk Nông";34.0;30.0;27.0;26.8;26.6;26.1;28.5;28.5;27.1;25.7;25.2
"Lâm Đồng";18.3;14.6;14.0;14.6;14.5;14.2;16.5;16.5;16.6;16.3;16.0
"Đông Nam Bộ";10.6;10.0;8.0;10.0;9.6;9.3;9.2;9.1;8.8;8.6;8.5
"Bình Phước";21.3;19.0;18.0;19.0;16.2;15.9;14.8;14.8;14.3;14.0;13.8
"Tây Ninh";19.7;14.5;14.0;14.0;13.0;12.3;12.5;12.4;12.0;11.8;11.6
"Bình Dương";15.7;12.0;13.0;9.8;9.0;9.5;9.4;9.4;9.1;9.0;8.8
"Đồng Nai";16.4;13.5;11.0;9.8;9.0;9.2;8.1;8.1;7.8;7.7;7.5
"Bà Rịa - Vũng Tàu";10.3;11.0;10.0;10.0;8.9;8.5;8.7;8.6;8.3;8.1;8.0
"TP. Hồ Chí Minh";9.0;10.0;12.0;8.9;7.7;7.7;8.1;8.1;7.9;7.7;7.6
"Đồng bằng sông Cửu Long";14.4;11.0;11.0;13.3;12.6;12.2;12.0;12.0;11.6;11.4;11.2
"Long An";15.1;14.2;12.0;11.0;9.8;10.2;10.0;10.0;9.7;9.5;9.4
"Tiền Giang";14.3;15.0;13.0;12.0;10.6;9.6;9.5;9.6;9.3;9.1;9.0
"Bến Tre";20.3;15.0;14.0;13.0;11.5;10.4;10.3;10.3;10.0;9.8;9.6
