"Số vụ ly hôn đã xét xử phân theo địa phương và phân theo cấp xét xử by Tỉnh, thành phố, Năm and Cấp xét xử"

" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"Sơ bộ 2017";" ";" "
" ";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện"
"CẢ NƯỚC";18308;1499;16809;19960;1552;18408;24101;1440;22661;24308;1665;22643;27948;1800;26148
"Đồng bằng sông Hồng";3475;372;3103;3707;395;3312;3686;287;3399;4058;311;3747;4951;374;4577
"Hà Nội";953;86;867;1018;85;933;875;45;830;884;41;843;1273;91;1182
"Vĩnh Phúc";295;6;289;274;7;267;253;4;249;274;2;272;257;5;252
"Bắc Ninh";110;8;102;147;..;147;133;1;132;151;5;146;202;18;184
"Quảng Ninh";164;19;145;192;20;172;284;15;269;333;27;306;350;16;334
"Hải Dương";262;42;220;333;60;273;338;66;272;378;72;306;409;34;375
"Hải Phòng";558;163;395;670;178;492;606;80;526;774;105;669;891;132;759
"Hưng Yên";230;11;219;194;2;192;194;11;183;213;5;208;276;3;273
"Thái Bình";443;33;410;371;37;334;463;46;417;469;44;425;573;55;518
"Hà Nam";91;1;90;109;5;104;76;3;73;87;2;85;116;6;110
"Nam Định";314;3;311;312;1;311;357;14;343;373;6;367;454;10;444
"Ninh Bình";55;..;55;87;..;87;107;2;105;122;2;120;150;4;146
"Trung du và miền núi phía Bắc";1656;47;1609;1761;52;1709;2057;49;2008;2127;72;2055;2453;54;2399
"Hà Giang";55;..;55;71;..;71;76;0;76;76;0;76;63;..;63
"Cao Bằng";50;..;50;65;..;65;74;0;74;47;0;47;76;..;76
"Bắc Kạn";54;1;53;31;1;30;48;1;47;27;0;27;41;1;40
"Tuyên Quang";83;2;81;89;3;86;128;1;127;125;0;125;146;..;146
"Lào Cai";69;..;69;76;..;76;108;0;108;94;0;94;132;..;132
"Yên Bái";173;1;172;154;1;153;198;4;194;206;1;205;239;..;239
"Thái Nguyên";220;14;206;271;10;261;239;16;223;314;22;292;318;23;295
"Lạng Sơn";84;1;83;100;..;100;90;1;89;86;0;86;119;..;119
"Bắc Giang";306;19;287;336;23;313;429;16;413;432;24;408;507;21;486
"Phú Thọ";310;5;305;329;12;317;351;9;342;440;22;418;487;5;482
"Điện Biên";46;..;46;56;..;56;83;0;83;61;0;61;72;..;72
"Lai Châu";27;..;27;11;..;11;18;0;18;24;0;24;24;..;24
"Sơn La";106;..;106;91;1;90;104;0;104;83;0;83;91;1;90
"Hòa Bình";73;4;69;81;1;80;111;1;110;112;3;109;138;3;135
"Bắc Trung Bộ và duyên hải miền Trung";3032;237;2795;3250;246;3004;3595;229;3366;4117;244;3873;4841;287;4554
"Thanh Hóa";460;..;460;423;..;423;437;2;435;584;2;582;685;4;681
"Nghệ An";283;45;238;323;49;274;360;44;316;451;65;386;569;75;494
"Hà Tĩnh";73;4;69;107;13;94;126;13;113;133;21;112;112;14;98
"Quảng Bình";137;8;129;126;10;116;158;11;147;168;10;158;222;13;209
"Quảng Trị";56;..;56;43;1;42;62;3;59;61;0;61;67;1;66
"Thừa Thiên - Huế";160;44;116;154;62;92;177;43;134;210;46;164;199;34;165
"Đà Nẵng";279;66;213;269;36;233;300;38;262;349;19;330;373;13;360
"Quảng Nam";175;8;167;212;2;210;233;1;232;272;2;270;275;5;270
"Quảng Ngãi";187;..;187;157;..;157;203;0;203;206;0;206;215;2;213
"Bình Định";239;9;230;271;17;254;243;8;235;255;7;248;411;35;376
"Phú Yên";213;13;200;229;16;213;259;14;245;233;18;215;260;6;254
"Khánh Hòa";408;27;381;511;30;481;497;34;463;573;39;534;705;46;659
"Ninh Thuận";104;1;103;100;..;100;145;5;140;178;4;174;210;3;207
"Bình Thuận";258;12;246;325;10;315;395;13;382;444;11;433;538;36;502
"Tây Nguyên";802;15;787;908;19;889;1129;28;1101;1081;10;1071;1187;31;1156
"Kon Tum";43;..;43;41;1;40;63;0;63;57;0;57;70;1;69
"Gia Lai";134;1;133;200;..;200;240;0;240;183;0;183;233;2;231
"Đắk Lắk";266;4;262;258;2;256;316;5;311;332;4;328;353;4;349
"Đắk Nông";49;..;49;57;..;57;77;0;77;79;0;79;67;..;67
"Lâm Đồng";310;10;300;352;16;336;433;23;410;430;6;424;464;24;440
"Đông Nam Bộ";3614;480;3134;4304;490;3814;5286;456;4830;5132;549;4583;5686;501;5185
"Bình Phước";261;4;257;326;4;322;363;4;359;365;4;361;409;6;403
"Tây Ninh";494;31;463;509;15;494;721;19;702;648;53;595;645;57;588
"Bình Dương";363;16;347;390;20;370;480;11;469;459;16;443;484;25;459
"Đồng Nai";666;34;632;770;63;707;1037;75;962;1124;130;994;1170;58;1112
