"Tỷ lệ thất nghiệp của lực lượng lao động trong độ tuổi phân theo vùng và theo thành thị, nông thôn chia theo Thành thị, nông thôn, Vùng và Năm"

" ";" ";"2010";"2014";"2015";"2016";"Sơ bộ 2017"
"CẢ NƯỚC"
" ";"Tổng số";2.88;2.10;2.33;2.30;2.24
" ";"Đồng bằng sông Hồng";2.61;2.82;2.42;2.24;2.20
" ";"Trung du và miền núi phía Bắc";1.21;0.76;1.10;1.17;1.01
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.94;2.23;2.71;2.78;2.54
" ";"Tây Nguyên";2.15;1.22;1.03;1.24;1.05
" ";"Đông Nam Bộ";3.91;2.47;2.74;2.46;2.68
" ";"Đồng bằng sông Cửu Long";3.59;2.06;2.77;2.89;2.88
"Thành thị"
" ";"Tổng số";4.29;3.40;3.37;3.23;3.18
" ";"Đồng bằng sông Hồng";3.73;4.86;3.42;3.23;3.19
" ";"Trung du và miền núi phía Bắc";3.42;2.35;3.11;3.20;2.71
" ";"Bắc Trung Bộ và duyên hải miền Trung";5.01;3.71;4.51;4.30;4.00
" ";"Tây Nguyên";3.37;1.94;2.27;2.19;1.98
" ";"Đông Nam Bộ";4.72;3.00;3.05;2.61;2.83
" ";"Đồng bằng sông Cửu Long";4.08;2.79;3.22;3.73;3.63
"Nông thôn"
" ";"Tổng số";2.30;1.49;1.82;1.84;1.78
" ";"Đồng bằng sông Hồng";2.18;1.87;1.94;1.73;1.64
" ";"Trung du và miền núi phía Bắc";0.82;0.46;0.72;0.77;0.68
" ";"Bắc Trung Bộ và duyên hải miền Trung";2.29;1.70;2.05;2.17;1.98
" ";"Tây Nguyên";1.66;0.93;0.57;0.88;0.70
" ";"Đông Nam Bộ";2.90;1.60;2.17;2.19;2.43
" ";"Đồng bằng sông Cửu Long";3.45;1.83;2.63;2.62;2.64

