"Lao động từ 15 tuổi trở lên đang làm việc hàng năm phân theo vị thế việc làm chia theo Vị thế việc làm và Năm"

" ";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"TỔNG SỐ";47743.6;49048.5;50352.0;51422.4;52207.8;52744.5;52840.0;53302.8;53703.4
"Làm công ăn lương";15981.0;16572.7;17431.7;17862.1;18188.6;18801.2;20772.9;21958.4;23000.8
"Chủ cơ sở sản xuất kinh doanh";2286.2;1687.0;1455.1;1387.1;1300.1;1102.6;1532.9;1510.3;1092.4
"Tự làm";21357.9;21242.6;22103.6;23175.4;23746.4;21534.2;21446.9;21251.0;21225.5
"Lao động gia đình";8062.5;9523.9;9350.5;8981.6;8963.8;11298.6;9074.9;8557.4;8374.2
"Xã viên hợp tác xã";55.9;22.3;11.2;16.2;8.9;7.9;12.5;25.7;10.5

