"Tổng sản phẩm trong nước theo giá thực tế phân theo thành phần kinh tế và phân theo ngành kinh tế (*) by Loại hình, Chỉ tiêu and Năm"

" ";" ";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
"Giá trị (Tỷ đồng)"
" ";"Hoạt động dịch vụ khác";13998.00;16173.00;18927.00;24923.00;29087.00;34396.00;43372.00;50164.00;57607.00;65463.00;71946.00;80286.00;87620.00
" ";"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình";1421.00;1640.00;1927.00;2551.00;2898.00;2944.00;3750.00;4417.00;5022.00;5753.00;6439.00;7236.00;8082.00
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm";..;..;..;..;..;270746.00;318438.00;323049.00;362375.00;395755.00;420310.00;452103.00;500374.00
"Cơ cấu (%)"
" ";"TỔNG SỐ";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
" ";"Thành phần kinh tế";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"  Kinh tế Nhà nước";37.62;36.69;35.35;35.07;34.72;29.34;29.01;29.39;29.01;28.73;28.69;28.81;28.63
" ";"  Kinh tế ngoài Nhà nước";47.22;47.24;47.69;47.50;47.97;42.96;43.87;44.62;43.52;43.33;43.22;42.56;41.74
" ";"Kinh tế tập thể";6.65;6.39;6.10;5.91;5.80;3.99;3.98;4.00;4.03;4.04;4.01;3.92;3.76
" ";"Kinh tế tư nhân";8.51;8.98;9.69;10.23;10.46;6.90;7.34;7.97;7.78;7.79;7.88;8.21;8.64
" ";"Kinh tế cá thể";32.06;31.87;31.90;31.36;31.71;32.07;32.55;32.65;31.71;31.50;31.33;30.43;29.34
" ";"  Khu vực có vốn đầu tư nước ngoài";15.16;16.07;16.96;17.43;17.31;15.15;15.66;16.04;17.36;17.89;18.07;18.59;19.63
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm.";..;..;..;..;..;12.55;11.46;9.95;10.11;10.05;10.02;10.04;10.00
" ";"Ngành kinh tế";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
" ";"Nông nghiệp, lâm nghiệp và thủy sản";19.30;18.73;18.66;20.42;19.17;18.38;19.57;19.22;17.96;17.70;17.00;16.32;15.34
" ";"Khai khoáng";9.73;9.39;8.96;9.07;9.14;9.48;9.87;11.42;11.01;10.82;9.61;8.12;7.47
" ";"Công nghiệp chế biến, chế tạo";18.82;19.38;19.39;18.59;18.30;12.95;13.35;13.28;13.34;13.18;13.69;14.27;15.33
" ";"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";3.26;3.19;3.22;3.04;3.41;3.05;2.92;3.00;3.22;3.61;3.99;4.19;4.34
" ";"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";0.49;0.55;0.56;0.46;0.45;0.51;0.49;0.47;0.50;0.50;0.51;0.52;0.52
" ";"Xây dựng";5.83;6.08;6.39;5.92;6.09;6.15;5.61;5.38;5.13;5.11;5.44;5.62;5.74
" ";"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";12.23;12.29;12.32;12.89;13.30;8.00;8.45;9.23;9.47;9.85;10.15;10.50;10.71
" ";"Vận tải, kho bãi";3.06;3.16;3.14;3.14;3.06;2.88;2.85;2.87;2.86;2.85;2.73;2.68;2.66
" ";"Dịch vụ lưu trú và ãn uống";3.21;3.38;3.61;3.53;3.73;3.61;3.67;3.64;3.75;3.75;3.71;3.80;3.83
" ";"Thông tin và truyền thông";1.09;1.11;1.11;1.09;1.07;0.92;0.76;0.70;0.69;0.68;0.70;0.71;0.69
" ";"Hoạt động tài chính, ngân hàng và bảo hiểm";5.23;5.26;5.28;5.34;5.55;5.40;5.34;5.27;5.44;5.26;5.49;5.52;5.47
" ";"Hoạt động kinh doanh bất động sản";6.72;6.64;6.68;6.37;6.38;6.10;5.87;5.50;5.29;5.13;5.08;5.08;4.79
" ";"Hoạt động chuyên môn, khoa học và công nghệ";1.41;1.36;1.36;1.33;1.34;1.30;1.27;1.28;1.32;1.30;1.33;1.33;1.28
" ";"Hoạt động hành chính và dịch vụ hỗ trợ";0.42;0.41;0.41;0.40;0.40;0.37;0.36;0.36;0.38;0.37;0.38;0.38;0.37
" ";"Hoạt động của Ðảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";2.52;2.52;2.51;2.55;2.60;2.56;2.52;2.53;2.63;2.70;2.72;2.78;2.75
" ";"Giáo dục và đào tạo";2.95;2.89;2.79;2.37;2.36;2.33;2.39;2.59;2.93;3.07;3.26;3.44;3.55
" ";"Y tế và hoạt động trợ giúp xã hội";1.34;1.31;1.28;1.17;1.18;1.08;0.96;1.03;1.64;1.67;1.72;2.15;2.65
" ";"Nghệ thuật, vui chơi và giải trí";0.69;0.68;0.66;0.62;0.72;0.68;0.61;0.58;0.59;0.59;0.60;0.60;0.60
" ";"Hoạt động dịch vụ khác";1.53;1.52;1.52;1.54;1.61;1.59;1.56;1.55;1.61;1.66;1.72;1.78;1.75
" ";"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình";0.16;0.15;0.15;0.16;0.16;0.14;0.13;0.14;0.14;0.15;0.15;0.16;0.16
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm";..;..;..;..;..;12.55;11.46;9.95;10.11;10.05;10.02;10.04;10.00

"(*) Bắt đầu từ năm 2010 giá trị tăng thêm của các khu vực kinh "
"tế được tính theo giá cơ bản."

