"Tổng sản phẩm trong nước theo giá so sánh 2010 phân theo thành phần kinh tế và phân theo ngành kinh tế (Năm trước = 100) (*) by Loại hình, Chỉ tiêu and Năm"

" ";" ";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
" ";"Kinh tế tập thể";103.98;103.51;103.32;103.01;102.85;103.32;104.83;104.38;104.63;104.58;105.22;104.98;104.27
" ";"Kinh tế tư nhân";114.01;114.85;115.73;110.97;109.43;108.46;108.44;108.02;106.05;106.75;108.42;111.41;111.72
" ";"Kinh tế cá thể";104.63;103.30;103.92;104.79;106.40;107.27;108.21;105.77;104.45;105.80;105.97;104.21;105.10
" ";"  Khu vực có vốn đầu tư nước ngoài";113.22;114.33;113.04;107.85;104.81;108.07;107.69;107.42;107.86;108.45;110.71;109.55;112.66
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm.";..;..;..;..;..;..;102.07;98.40;106.42;107.93;105.54;106.38;106.34
" ";"Ngành kinh tế";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"Nông nghiệp, lâm nghiệp và thủy sản";104.19;103.80;103.96;104.69;101.91;103.29;104.23;102.92;102.63;103.44;102.41;101.36;102.90
" ";"Khai khoáng";101.86;98.00;97.80;96.17;107.62;102.10;102.90;105.14;99.77;102.26;106.50;96.00;92.90
" ";"Công nghiệp chế biến, chế tạo";112.92;113.36;112.37;109.78;102.76;108.38;114.08;109.05;107.22;107.41;110.60;111.90;114.40
" ";"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";112.30;109.91;109.09;110.06;109.02;111.27;110.23;113.23;108.48;111.83;111.40;111.60;109.40
" ";"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";111.08;107.75;108.13;107.01;106.50;107.39;109.72;108.76;109.07;106.29;107.40;107.80;108.67
" ";"Xây dựng";110.87;111.05;112.15;99.62;111.36;110.06;99.74;103.66;105.84;106.93;110.82;110.00;108.70
" ";"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";108.34;108.55;108.81;106.77;107.68;108.09;110.59;110.33;107.21;108.09;109.06;108.28;108.36
" ";"Vận tải, kho bãi";109.61;110.13;111.40;111.91;108.48;108.74;107.58;106.17;105.56;105.28;105.02;106.30;107.91
